"","x"
"26",0
"314",0
"8639",0
"1591",0
"1594",2
"10993",0
"6818",1
"89874",0
"55293",0
"3945",3
"92483",0
"160287",0
"3948",0
"3939",1
"134526",0
"51",0
"95",0
"50",3
"48",1
"8309",0
"52",3
"55",0
"788",2
"9194",1
"55902",0
"9123",1
"6566",1
"57835",0
"65985",0
"8671",1
"438",0
"1571",0
"4967",2
"100",3
"8050",1
"1738",3
"3177",0
"1743",3
"126",0
"205",0
"128",2
"204",2
"130",0
"127",0
"131",0
"124",0
"125",0
"26289",0
"137872",0
"1312",2
"50808",3
"262",1
"117247",0
"222",0
"113",1
"218",0
"108",0
"220",0
"221",0
"114",0
"111",0
"3242",0
"115",0
"18",0
"109",0
"55811",0
"196883",0
"2531",0
"107",0
"23498",0
"112",0
"55268",1
"51166",0
"2030",0
"883",0
"1644",0
"4129",0
"9154",0
"64078",0
"4128",0
"9153",0
"10165",0
"55315",0
"8604",1
"245972",0
"2572",0
"9114",0
"11164",3
"2571",0
"952",1
"51380",0
"1375",0
"533",1
"2805",3
"50617",0
"1374",1
"2806",3
"8659",0
"126129",0
"10312",2
"6817",0
"535",0
"127124",0
"523",2
"1376",0
"6799",0
"9060",0
"8992",1
"9061",1
"158",3
"9550",2
"4363",1
"529",3
"6822",0
"6573",0
"146712",0
"528",0
"316",0
"10678",1
"6571",1
"6570",0
"10331",0
"51382",0
"2348",0
"90423",0
"534",0
"374907",0
"2352",1
"51606",2
"11041",0
"93010",0
"9296",2
"79369",0
"4125",2
"954",0
"79814",0
"53947",0
"51146",0
"28",0
"953",0
"206358",1
"957",0
"56895",0
"6540",0
"137964",1
"129642",0
"956",0
"955",0
"6539",1
"56894",0
"10555",0
"55326",1
"10554",0
"6529",0
"6538",0
"10449",2
"38",0
"64850",0
"377841",0
"3032",3
"292",3
"293",3
"64902",0
"3030",3
"189",0
"291",0
"39",3
"30",2
"32",0
"9197",0
"4126",0
"3073",0
"3074",1
"79611",0
"10606",2
"8706",0
"84532",2
"64841",1
"55577",3
"5238",0
"8705",0
"9487",0
"10317",0
"162417",0
"43",0
"6572",0
"84002",0
"47",3
"570",0
"3141",0
"54187",1
"140679",0
"26503",0
"54",0
"8424",0
"51205",0
"53630",0
"140838",0
"622",1
"36",2
"34",2
"84129",0
"23743",0
"80724",0
"635",1
"27034",0
"10599",0
"28976",1
"1244",0
"35",2
"3712",2
"1607",0
"8714",0
"28234",0
"644",3
"1468",0
"8402",2
"64849",0
"645",1
"9488",0
"1610",0
"10380",2
"686",0
"1645",0
"2745",3
"1109",0
"8884",0
"80704",0
"51022",0
"51733",0
"7108",0
"6718",0
"8528",0
"6510",0
"50814",1
"3295",1
"6307",0
"6509",0
"1632",1
"56301",0
"492",0
"10455",0
"490",1
"6520",2
"1633",3
"211",2
"493",1
"6319",0
"9415",0
"491",0
"23464",1
"3992",0
"212",0
"8694",0
"847",3
"84649",0
"1716",2
"6546",0
"6547",0
"54407",2
"6541",0
"6543",0
"6515",1
"59272",0
"84889",0
"6517",0
"81539",1
"340024",0
"6513",0
"55089",0
"1718",0
"2538",0
"1581",0
"57818",0
"92579",0
"1373",0
"873",2
"11254",0
"57393",0
"6542",0
"84706",0
"1717",1
"2875",0
"8560",1
"10423",0
"123099",0
"92745",0
"10991",0
"1040",0
"11309",1
"8760",2
"284273",0
"6783",0
"1723",0
"10327",3
"10390",0
"56994",0
"1807",0
"64781",3
"1809",0
"8854",0
"1808",2
"10087",1
"23539",0
"6565",0
"9023",0
"224",0
"501",0
"2224",3
"1103",0
"29958",0
"60386",0
"223",3
"216",0
"162466",0
"84920",0
"5130",1
"9468",0
"6579",0
"217",0
"219",0
"79087",0
"239",0
"6555",0
"6554",0
"26002",0
"1621",1
"8647",0
"247",0
"7299",0
"55349",0
"6530",0
"246",0
"6531",0
"6581",0
"240",0
"231",3
"8574",2
"23600",0
"1119",0
"1120",1
"5224",0
"60482",0
"6582",0
"115286",1
"5223",3
"6584",0
"669",0
"271",2
"6820",0
"4597",1
"51071",1
"10948",1
"19",0
"272",0
"1806",0
"270",0
"7083",0
"290",0
"1118",0
"7084",0
"54682",0
"27159",0
"3704",3
"279",1
"277",1
"1854",3
"10682",2
"9058",0
"276",1
"278",0
"1892",3
"549",1
"11136",0
"6519",0
"1962",0
"280",2
"6576",2
"1891",1
"1160",0
"11001",0
"1159",0
"548596",0
"1152",0
"1158",0
"5172",0
"65010",0
"10998",0
"113451",0
"53919",0
"9057",1
"384",0
"28231",0
"54675",0
"10257",0
"10559",2
"445",0
"28232",0
"55907",2
"2108",2
"8034",0
"2109",3
"83884",0
"10166",0
"8824",0
"410",0
"2110",0
"51805",0
"55500",0
"427",2
"55224",0
"51004",0
"10229",1
"9962",0
"2181",0
"9245",0
"2650",0
"51301",0
"2182",0
"9963",0
"2180",0
"192134",0
"386757",0
"80150",0
"51703",1
"81616",0
"23305",0
"440",0
"6535",0
"1384",0
"116285",0
"6583",1
"5167",0
"790",2
"5169",0
"54898",0
"6511",0
"1431",3
"6785",0
"6505",0
"54677",0
"60481",1
"6507",1
"79071",0
"1579",0
"6512",0
"2194",0
"6506",0
"376497",0
"10999",0
"525",0
"11000",0
"230",2
"226",3
"527",1
"8140",0
"229",0
"23545",0
"5207",0
"526",3
"23428",0
"5208",0
"1036",0
"245973",0
"5210",1
"8789",0
"5209",0
"124935",0
"2203",0
"2235",2
"23657",1
"57379",0
"2629",0
"10840",0
"26301",0
"79901",0
"978",1
"7371",0
"83549",0
"7915",0
"125061",0
"4329",1
"51727",3
"1719",1
"129607",0
"2356",0
"2731",0
"29988",1
"275",0
"2653",0
"1609",0
"155184",0
"2651",0
"6514",0
"6518",1
"8525",0
"66035",0
