"","Anti-inflammatory macro/mono","CAFs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FO538757.2",21,7,2,5,177,1,2,5,1,3,3,7,1,1,0,53,4,0,19,11,8
"AP006222.2",18,1,1,1,162,1,0,0,0,2,0,1,0,2,0,7,6,0,3,3,9
"RP4-669L17.10",0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"RP11-206L10.9",4,1,0,3,13,0,0,1,0,0,1,0,0,0,0,7,0,0,0,1,2
"FAM87B",0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LINC00115",0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0
"FAM41C",2,1,0,0,9,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,3
"RP11-54O7.1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,6,0,0,122,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"NOC2L",14,5,4,5,142,1,3,2,0,8,5,2,1,4,0,43,2,1,6,6,8
"KLHL17",1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
"PLEKHN1",0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,2,0,0
"PERM1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.17",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4
"HES4",0,0,1,2,14,0,0,2,0,0,1,4,0,0,0,7,16,0,3,7,71
"ISG15",84,11,20,59,644,7,10,16,0,55,30,12,6,23,0,121,20,6,216,100,32
"AGRN",4,10,1,1,12,0,0,3,0,0,1,0,0,0,0,21,3,0,1,18,2
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"C1orf159",3,0,0,3,17,1,0,0,0,1,2,1,0,0,0,5,0,0,3,2,1
"RP11-465B22.8",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TNFRSF18",2,0,2,0,6,30,1,0,0,13,2,0,0,18,6,1,1,9,2,0,0
"TNFRSF4",11,0,3,0,8,0,14,3,1,7,1,0,2,0,0,3,0,8,4,24,0
"SDF4",43,33,14,25,1155,4,9,5,0,22,15,6,2,7,2,139,4,7,32,15,13
"B3GALT6",8,2,3,3,17,0,0,0,0,2,0,0,0,0,1,9,0,0,5,2,1
"FAM132A",0,1,0,0,13,0,0,0,0,1,0,0,0,0,0,15,0,0,2,3,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"UBE2J2",25,2,5,5,288,3,4,6,0,14,9,2,1,4,1,41,4,2,23,9,10
"SCNN1D",0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACAP3",13,4,0,2,93,0,0,0,0,1,1,3,0,2,0,15,1,0,6,2,2
"PUSL1",6,2,5,0,66,0,1,1,0,3,1,1,0,1,0,13,0,0,7,2,1
"CPSF3L",13,19,7,8,266,1,2,2,0,9,12,3,0,6,1,66,6,1,22,12,7
"CPTP",3,1,0,2,66,0,1,2,0,2,0,1,1,1,0,39,1,0,4,9,3
"TAS1R3",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"DVL1",8,6,2,0,26,0,0,1,0,0,0,1,1,0,0,17,1,0,4,2,1
"MXRA8",4,7,1,38,1414,0,0,0,0,1,0,13,0,0,0,5,9,0,2,1,6
"AURKAIP1",114,43,29,27,834,2,12,19,5,39,32,17,1,8,3,469,12,8,123,32,47
"CCNL2",17,9,5,3,181,1,1,2,1,3,2,2,1,0,2,36,1,1,7,14,8
"MRPL20",93,37,25,23,932,7,12,8,2,32,19,20,5,15,3,221,4,5,73,40,38
"RP4-758J18.13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD65",1,0,2,1,107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
"VWA1",0,0,0,12,21,0,0,0,0,0,0,0,0,0,0,7,0,0,0,30,1
"ATAD3C",2,2,0,0,4,0,0,1,0,5,0,0,0,0,0,4,0,0,1,1,0
"ATAD3B",1,0,0,1,17,0,1,1,0,0,0,1,0,0,0,12,0,1,3,1,0
"ATAD3A",5,1,1,0,48,0,0,1,0,1,3,0,0,2,0,19,0,0,3,0,1
"TMEM240",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",50,28,12,6,438,3,10,7,1,18,24,7,3,9,2,130,4,0,45,25,13
"RP5-832C2.5",2,2,0,0,12,1,0,0,0,1,1,0,0,1,0,5,1,0,4,1,0
"C1orf233",2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
"RP11-345P4.9",2,0,0,2,29,0,0,1,0,0,0,0,0,2,0,8,0,1,0,0,2
"MIB2",2,3,1,3,94,4,5,1,0,12,11,0,0,1,0,42,0,0,5,2,4
"MMP23B",8,14,0,1,2700,0,0,2,0,2,3,4,0,3,0,7,7,0,1,1,0
"CDK11B",16,6,2,3,107,1,4,2,0,8,4,1,1,3,0,28,2,0,12,4,8
"RP11-345P4.10",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"SLC35E2B",14,6,3,2,126,0,2,4,0,6,3,2,0,3,0,33,1,1,6,4,1
"RP11-345P4.7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",9,5,0,1,76,1,1,1,1,6,5,2,4,2,2,25,3,0,12,6,4
"SLC35E2",0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0
"NADK",27,8,5,1,85,0,1,2,0,3,2,0,0,2,0,49,1,0,26,4,7
"GNB1",76,9,11,11,262,0,3,9,0,15,6,7,2,3,0,89,3,1,46,11,12
"RP1-140A9.1",0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TMEM52",0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,14,0,2,1,0,1
"CFAP74",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1
"PRKCZ",0,0,0,0,49,2,1,4,1,5,2,1,0,2,0,20,0,0,0,0,0
"RP5-892K4.1",0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-181G12.2",1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"FAAP20",77,18,21,16,478,3,3,6,3,24,19,6,0,10,1,78,7,0,39,10,19
"SKI",22,5,3,8,156,0,2,1,0,3,4,4,0,2,0,8,4,1,9,6,6
"MORN1",0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3
"RER1",68,31,23,23,786,2,12,9,1,28,27,7,2,13,3,220,11,8,58,17,20
"PEX10",9,9,2,5,113,0,2,1,0,3,1,2,0,0,0,22,2,0,4,7,1
"PLCH2",0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"PANK4",2,6,0,1,56,0,0,2,0,3,1,2,0,1,0,11,3,0,2,2,2
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP3-395M20.12",5,0,0,2,4,0,2,0,0,3,0,0,0,1,0,23,0,1,11,1,2
"RP3-395M20.8",2,0,2,0,10,0,0,2,0,1,0,0,0,2,0,28,0,0,2,1,0
"TNFRSF14",85,9,14,3,335,5,8,9,1,29,17,5,2,9,2,76,4,7,60,13,4
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0
"FAM213B",7,1,1,0,28,0,0,1,0,2,1,1,0,1,0,39,1,0,1,5,2
"MMEL1",4,6,0,0,1,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0
"TTC34",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"PRDM16",0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ARHGEF16",2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,50,2,0,1,0,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MEGF6",0,3,0,11,28,0,0,2,0,1,0,0,0,1,0,1,0,0,0,2,0
"TPRG1L",12,3,2,2,133,0,0,1,0,1,1,1,0,2,0,31,2,0,4,8,6
"WRAP73",8,1,2,3,104,0,0,0,1,8,6,2,0,0,1,17,1,1,3,1,1
"TP73",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TP73-AS1",4,1,0,2,50,1,0,0,0,2,0,2,0,1,0,1,1,0,2,3,5
"SMIM1",8,16,2,2,89,0,0,0,2,1,1,2,0,0,0,5,1,2,4,1,4
"LRRC47",8,2,4,0,117,2,3,0,1,4,4,3,0,0,0,16,2,0,6,5,5
"RP1-286D6.5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CEP104",10,4,3,1,40,1,0,1,0,5,5,0,0,1,0,14,1,0,6,2,2
"DFFB",0,0,1,0,14,0,0,1,0,1,0,0,0,0,0,4,0,0,2,0,0
"C1orf174",11,4,5,0,132,0,3,1,1,7,1,3,1,3,0,26,0,1,16,8,4
"LINC01134",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AJAP1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,1
"KCNAB2",36,0,6,0,13,1,2,0,1,15,13,0,0,5,0,1,0,0,33,0,0
"CHD5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPL22",1579,671,382,122,9375,58,146,155,49,478,304,80,75,106,29,2897,105,60,946,291,303
"RP1-120G22.11",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNF207",2,1,2,1,22,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0
"ICMT",13,1,1,2,127,1,0,6,0,3,3,2,0,1,0,25,2,2,10,4,4
"LINC00337",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPR153",1,0,0,0,57,0,0,0,1,0,0,0,0,0,0,22,0,0,1,0,0
"ACOT7",4,1,1,2,73,0,1,0,7,3,6,4,0,2,0,80,0,0,1,4,1
"RP1-202O8.3",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
"HES2",1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"ESPN",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0
"TNFRSF25",15,0,1,0,2,1,8,1,0,19,5,0,3,1,0,16,0,0,3,0,1
"PLEKHG5",14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"NOL9",5,0,0,1,49,0,0,0,0,2,2,0,0,0,0,13,1,1,5,4,3
"TAS1R1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ZBTB48",5,0,1,2,54,0,2,1,0,4,4,0,0,1,0,16,0,0,4,2,6
"KLHL21",5,1,0,2,44,0,0,0,0,1,0,4,0,0,0,0,0,1,6,1,3
"PHF13",1,3,0,0,31,0,0,3,0,2,1,1,0,0,0,6,2,0,0,1,0
"THAP3",3,0,0,4,138,2,0,2,0,2,3,1,0,1,1,15,4,1,3,2,4
"DNAJC11",4,1,0,0,35,0,0,1,0,2,1,0,1,1,0,29,0,0,5,4,1
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-312B8.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"CAMTA1",77,21,19,27,503,3,6,7,3,15,11,16,0,2,1,227,17,4,41,36,60
"RP4-549F15.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAMP3",75,5,7,14,410,1,3,7,1,6,6,5,2,1,0,53,4,1,40,28,18
"PER3",22,0,2,11,124,0,1,2,0,0,0,3,0,0,0,1,1,1,1,4,5
"UTS2",15,0,4,0,0,2,0,0,0,6,3,0,0,6,3,12,0,0,8,1,0
"TNFRSF9",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"PARK7",197,110,51,52,2697,10,27,36,6,95,73,29,7,31,1,441,37,11,161,66,96
"ERRFI1",5,124,0,0,644,0,0,17,0,0,0,3,0,0,0,12,2,0,1,8,10
"RP11-431K24.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC45A1",1,1,0,4,33,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0
"RERE",26,8,4,6,177,0,0,7,0,6,1,8,0,1,0,43,8,1,10,6,9
"RP5-1115A15.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENO1",216,87,111,63,1780,22,56,26,5,156,115,26,17,46,12,582,29,11,303,78,51
"ENO1-AS1",0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,5,0,1,3,0,0
"SLC2A5",14,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,4,0,0
"GPR157",0,3,0,1,10,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
"MIR34AHG",1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP3-510D11.2",0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0
"H6PD",18,45,2,4,158,1,0,1,1,2,1,3,0,0,0,23,2,0,15,7,2
"SPSB1",4,4,0,1,298,0,0,3,0,0,2,4,0,0,0,13,1,0,1,5,6
"SLC25A33",5,4,1,2,35,0,1,0,0,1,2,1,0,0,1,41,1,0,8,2,3
"TMEM201",2,1,1,0,10,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0
"PIK3CD",15,2,4,0,3,1,0,0,0,4,0,1,0,2,0,0,0,0,14,0,0
"PIK3CD-AS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",0,0,0,1,26,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
"CLSTN1",9,12,1,7,169,1,3,0,1,3,7,2,2,1,1,68,1,2,6,13,5
"CTNNBIP1",22,2,4,1,70,0,2,0,0,1,5,2,0,1,0,28,0,1,17,22,3
"LZIC",23,2,3,5,179,0,1,2,0,10,5,2,1,3,0,32,3,0,12,1,3
"NMNAT1",15,0,0,2,43,0,0,0,0,0,0,0,0,0,0,13,1,0,7,1,0
"RBP7",26,3,1,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15,89,0
"UBE4B",9,3,1,1,71,2,1,1,0,0,2,4,0,1,1,15,1,1,7,3,4
"KIF1B",21,7,1,5,82,0,0,1,0,2,0,1,0,0,0,22,3,0,11,2,4
"PGD",35,4,6,2,296,2,0,0,0,3,1,1,1,1,0,50,0,1,44,6,0
"APITD1-CORT",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APITD1",3,1,0,4,41,0,0,2,0,1,0,0,0,0,0,19,1,0,1,0,6
"DFFA",13,9,3,7,183,0,1,0,0,1,5,1,0,3,1,42,3,1,10,5,7
"PEX14",1,1,1,0,92,1,1,2,0,2,3,2,1,2,0,10,4,0,1,6,1
"CASZ1",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,31,1,0,1,4,1
"C1orf127",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"TARDBP",39,6,3,9,181,2,3,8,0,16,6,3,0,1,1,57,6,5,23,4,10
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SRM",13,4,3,3,135,1,1,2,0,2,3,1,1,1,0,18,0,1,7,3,2
"EXOSC10",13,3,1,9,108,0,1,2,0,2,8,1,0,2,0,16,3,0,5,3,3
"RP4-635E18.7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"MTOR",5,2,1,1,28,0,0,1,0,1,1,1,0,0,0,14,1,0,4,1,3
"ANGPTL7",0,2,0,43,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",8,2,1,1,55,0,1,3,1,2,3,2,0,1,1,12,1,1,3,3,3
"FBXO2",0,30,0,0,55,2,0,0,0,7,1,0,0,3,0,3,1,1,0,1,0
"FBXO44",3,1,1,3,98,0,3,0,0,5,6,2,1,1,0,5,1,1,2,2,2
"FBXO6",12,3,6,3,84,2,1,0,0,4,6,2,0,6,1,9,0,0,19,1,1
"MAD2L2",25,7,9,1,176,3,6,3,0,18,16,3,1,6,0,15,1,1,17,9,3
"DRAXIN",0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"AGTRAP",42,23,7,3,506,0,1,6,1,6,15,4,0,11,1,32,0,2,83,15,3
"C1orf167",0,5,0,0,103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11
"MTHFR",13,5,4,2,101,0,1,3,0,3,1,0,0,1,0,9,0,0,19,2,2
"CLCN6",1,1,1,1,17,0,0,1,0,3,0,0,0,1,0,5,0,0,8,0,0
"NPPA-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"KIAA2013",36,5,3,1,93,1,1,3,0,7,3,2,0,1,0,68,2,1,14,1,3
"PLOD1",17,5,1,2,195,0,0,0,0,0,1,4,0,0,0,15,6,0,6,10,2
"MFN2",7,2,0,1,34,1,0,0,0,1,1,3,1,0,0,15,2,0,11,3,4
"MIIP",8,7,2,10,68,1,1,3,1,8,7,2,0,1,0,9,2,1,19,2,5
"TNFRSF8",3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"TNFRSF1B",162,0,15,2,80,3,6,0,0,21,18,0,0,11,1,12,1,0,100,9,0
"VPS13D",12,8,0,8,68,1,0,2,1,2,6,3,0,1,1,16,4,0,6,4,5
"DHRS3",42,7,5,24,700,0,2,3,0,9,5,3,0,5,1,42,1,1,4,26,11
"RP11-474O21.5",0,0,0,2,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1orf158",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HNRNPCL2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",3,72,0,22,676,0,0,11,0,0,0,0,0,0,0,1,0,0,1,1,0
"PRDM2",13,6,6,3,200,2,3,5,0,9,8,3,1,2,1,26,1,0,10,4,2
"RP11-344F13.1",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",0,3,0,0,132,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
"TMEM51-AS1",0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"TMEM51",31,0,7,2,79,0,0,1,0,0,0,0,0,0,0,27,3,1,11,2,20
"FHAD1",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"EFHD2",104,8,23,1,126,0,1,1,0,15,8,1,1,17,1,137,1,3,95,10,0
"CASP9",3,4,3,2,36,0,0,0,0,0,1,1,0,0,0,4,0,0,2,0,1
"DNAJC16",10,4,0,0,38,0,1,1,0,2,0,1,1,1,0,12,0,0,1,1,1
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AGMAT",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
"DDI2",12,3,4,1,48,0,0,1,0,4,1,1,0,0,0,19,1,0,13,2,4
"PLEKHM2",29,3,1,0,71,0,0,2,0,4,1,0,1,0,0,7,0,0,6,4,2
"SLC25A34",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TMEM82",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"FBLIM1",6,6,0,0,62,0,0,1,0,2,2,1,0,0,0,80,1,0,4,10,10
"UQCRHL",9,4,2,0,48,0,0,0,0,2,3,0,0,1,0,31,0,0,8,0,1
"FLJ37453",3,3,0,1,28,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1
"SPEN",20,4,1,2,63,1,3,4,1,6,1,2,1,3,0,32,2,0,11,6,5
"ZBTB17",7,2,4,2,76,1,0,0,0,1,3,2,0,0,1,10,0,0,4,4,5
"C1orf64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"HSPB7",0,7,0,0,13,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,27
"CLCNKB",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM131C",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EPHA2",2,9,0,0,12,0,0,8,0,0,0,0,0,0,0,7,1,0,1,9,0
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ARHGEF19",0,0,0,0,21,1,0,1,0,1,2,0,1,1,0,5,0,0,2,3,0
"RSG1",0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"FBXO42",6,0,2,1,95,0,2,2,0,2,2,1,0,0,0,5,0,1,9,2,2
"SZRD1",28,8,4,3,225,3,1,1,0,9,7,2,0,6,2,57,3,0,22,5,8
"NECAP2",73,5,15,4,235,1,6,5,0,9,7,0,5,2,0,42,4,0,41,16,5
"RP4-798A10.2",0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
"NBPF1",5,0,0,0,32,0,0,0,0,0,1,0,0,0,0,15,0,0,2,0,4
"CROCC",1,4,1,0,63,0,0,1,0,1,0,1,0,0,0,2,0,0,0,2,1
"RP11-108M9.4",19,2,0,2,57,0,0,3,1,0,0,2,0,2,0,29,2,0,9,0,2
"RP11-108M9.6",0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1
"MFAP2",2,5,0,0,535,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,2
"ATP13A2",13,1,2,0,14,1,1,4,0,1,0,0,0,1,0,24,0,0,4,6,0
"SDHB",70,13,16,13,423,1,6,11,1,15,12,5,2,1,1,265,4,2,71,16,15
"PADI2",4,1,0,0,15,0,0,0,0,0,0,1,0,0,0,79,0,0,1,0,1
"PADI4",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0
"RCC2",17,1,4,4,25,2,0,2,1,1,0,1,0,1,1,36,0,0,20,4,1
"ARHGEF10L",19,4,0,2,34,0,0,0,0,0,0,1,0,1,0,39,2,0,12,0,5
"IGSF21",13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"KLHDC7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ALDH4A1",4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,4
"IFFO2",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1
"UBR4",21,6,5,12,245,0,2,0,2,6,1,3,0,4,0,21,2,1,32,5,4
"RP1-43E13.2",3,1,0,2,34,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0
"EMC1",13,2,4,2,129,0,1,0,0,1,3,1,0,2,1,16,1,0,5,3,0
"MRTO4",12,10,2,1,134,1,1,3,0,8,3,0,0,2,0,40,1,1,8,3,3
"AKR7A3",3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,136,0,2,0,0,0
"AKR7A2",39,32,16,20,722,4,2,4,0,20,10,16,2,6,1,215,2,4,34,8,16
"PQLC2",7,4,0,1,50,0,0,0,0,1,0,2,0,0,0,8,0,0,5,0,0
"CAPZB",410,32,84,24,1944,14,47,24,7,131,93,39,8,38,6,276,19,4,212,49,58
"MINOS1",187,49,39,21,1404,11,19,29,5,56,47,59,3,14,3,645,17,8,127,44,67
"NBL1",10,8,1,0,1017,0,2,4,0,7,1,44,0,2,0,201,7,0,3,13,17
"TMCO4",4,3,2,1,49,0,0,0,0,2,1,1,0,0,0,17,0,1,2,1,1
"RNF186",1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"OTUD3",2,0,1,1,29,0,0,0,1,0,0,0,2,0,0,7,0,0,1,2,0
"PLA2G2A",4,1170,1,0,4172,0,2,1,1,3,2,7,0,0,0,770,0,12,5,1,0
"PLA2G5",1,0,0,0,82,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"PLA2G2D",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PLA2G2C",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"UBXN10-AS1",0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
"UBXN10",0,4,0,0,9,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0
"RP4-745E8.2",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMK2N1",4,3,0,3,258,0,0,0,0,0,1,1,0,1,0,178,3,2,1,0,2
"MUL1",6,2,2,4,129,0,1,4,0,3,4,1,0,0,0,16,1,0,1,2,4
"FAM43B",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
