"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
"FO538757.2",40,18,3,0,1,1,0,9,4,3,10,6,5,1,1,1,6,8,0,0,12,522,29,2
"AP006222.2",57,22,1,1,0,0,0,15,0,0,1,5,1,1,1,0,13,6,0,0,6,168,23,6
"RP4-669L17.10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0
"RP5-857K21.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RP11-206L10.9",5,2,0,0,0,0,0,5,0,0,1,1,1,0,0,0,2,1,0,2,1,39,3,0
"FAM87B",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00115",5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,35,2,1
"FAM41C",4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,18,0,0
"RP11-54O7.1",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-54O7.3",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,10,0,0,0,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0
"NOC2L",35,21,2,5,1,0,1,14,1,2,7,4,1,4,0,3,16,8,1,0,20,853,38,0
"KLHL17",1,4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,31,0,0
"PLEKHN1",5,5,0,0,0,0,1,0,1,0,4,1,0,0,0,0,0,3,0,0,7,192,5,0
"PERM1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-54O7.17",1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,6,2,1
"HES4",9,30,0,0,0,0,0,4,0,0,0,0,0,0,0,1,37,6,0,0,2,338,24,6
"ISG15",1198,530,18,19,15,33,0,164,18,7,55,58,18,27,3,93,169,281,20,29,191,19889,359,8
"AGRN",33,26,0,0,0,1,0,10,0,1,2,0,1,0,0,1,17,3,0,0,2,345,69,0
"RP11-54O7.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RNF223",2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0
"C1orf159",11,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,2,2,0,0,2,135,3,0
"LINC01342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"RP11-465B22.8",10,3,1,0,0,0,0,1,0,1,0,1,0,4,0,1,0,4,0,0,2,303,3,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"TNFRSF18",87,4,7,16,9,1,3,2,44,14,26,13,5,34,3,0,1,23,61,2,635,55,4,0
"TNFRSF4",95,4,0,1,1,0,0,2,42,1,36,0,10,4,0,0,0,39,36,0,957,69,291,0
"SDF4",292,144,4,11,10,1,6,142,9,4,21,12,8,17,2,12,55,71,11,12,113,3042,169,2
"B3GALT6",21,12,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,95,16,0
"FAM132A",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,169,7,0
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"UBE2J2",70,36,6,5,1,1,2,28,2,2,11,12,6,5,2,1,16,20,4,2,41,626,54,2
"SCNN1D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0
"ACAP3",18,5,1,0,0,0,0,5,0,0,1,0,1,0,0,1,5,2,1,1,5,245,8,1
"PUSL1",21,11,1,0,0,0,0,12,1,0,4,1,0,0,0,1,5,11,1,2,10,424,11,0
"CPSF3L",51,33,5,3,2,2,2,24,9,2,8,8,4,8,0,1,22,19,5,2,27,966,40,2
"CPTP",14,13,2,1,1,0,0,10,1,0,3,2,0,2,1,0,10,3,2,0,8,264,15,1
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DVL1",17,11,0,1,1,0,1,4,0,0,2,0,0,1,1,1,2,5,0,1,6,525,14,0
"MXRA8",2,280,0,1,1,0,0,152,1,0,0,1,0,0,0,0,44,0,0,0,0,7,0,2
"AURKAIP1",399,168,12,14,11,3,1,120,17,8,35,25,11,15,2,37,71,112,14,5,110,6054,203,12
"CCNL2",45,22,2,1,4,0,0,24,1,2,6,4,7,3,0,2,18,9,0,0,16,556,46,1
"MRPL20",314,149,9,9,9,3,2,127,14,7,30,22,14,19,2,18,63,90,14,3,116,4802,160,13
"RP4-758J18.13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
"ANKRD65",3,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0
"RP4-758J18.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"VWA1",3,5,0,1,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,0,2,337,258,0
"ATAD3C",5,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,64,8,0
"ATAD3B",14,5,1,2,0,0,0,4,0,1,1,1,2,2,0,0,8,5,0,1,9,420,8,0
"ATAD3A",23,13,1,0,2,0,0,5,0,3,5,2,0,1,0,3,7,10,3,2,8,492,22,0
"TMEM240",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0
"SSU72",165,91,4,7,3,4,1,47,16,1,21,12,7,12,1,1,31,49,5,4,93,1143,96,1
"RP5-832C2.5",2,1,0,1,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,5,13,0,0
"AL645728.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C1orf233",14,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-345P4.9",2,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,1,0,0,0,33,4,0
"MIB2",38,23,2,1,4,1,1,13,1,0,7,11,2,0,0,4,6,2,2,0,7,1315,14,1
"MMP23B",2,60,0,0,1,1,0,273,0,0,0,1,0,2,1,0,1,1,0,0,0,24,0,0
"CDK11B",40,27,4,1,4,2,0,9,1,0,9,11,4,6,1,0,14,17,3,5,32,767,33,3
"RP11-345P4.10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,22,0,0
"SLC35E2B",18,13,0,0,1,0,0,11,1,2,5,4,1,2,0,0,5,5,2,1,11,238,28,0
"RP11-345P4.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CDK11A",21,16,1,1,0,0,1,10,3,1,3,1,0,7,2,0,7,9,1,3,32,544,19,3
"SLC35E2",2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,26,2,0
"NADK",131,5,2,3,2,0,0,20,1,2,0,3,3,5,0,1,9,37,0,0,5,499,15,2
"GNB1",238,68,1,2,2,3,1,31,6,2,4,5,4,3,4,6,29,63,7,7,37,1492,140,5
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TMEM52",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,60,2,0
"CFAP74",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,28,0
"RP11-547D24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"PRKCZ",2,10,0,2,1,0,1,7,0,0,1,1,2,1,0,1,3,0,0,0,11,387,6,0
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
"RP11-181G12.2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAAP20",169,88,3,6,3,2,2,87,9,4,13,12,3,7,0,14,47,47,8,2,45,1213,101,4
"SKI",44,29,0,2,0,0,0,35,1,2,8,6,1,2,0,0,15,8,0,1,11,176,52,0
"MORN1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,96,1,0
"RER1",260,134,9,10,6,2,2,92,15,5,27,18,8,8,0,26,60,82,13,10,80,3577,93,7
"PEX10",28,11,2,1,0,0,0,9,2,0,1,0,1,4,0,0,7,6,2,0,7,191,3,1
"PLCH2",0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,37,0,0
"PANK4",9,6,3,0,0,1,0,7,1,0,5,1,0,0,0,0,1,1,0,0,10,106,7,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP3-395M20.12",15,1,2,0,2,0,0,0,1,0,0,4,2,2,0,0,7,4,0,0,4,90,5,0
"RP3-395M20.8",23,3,0,0,0,2,0,3,1,0,7,3,0,4,0,1,2,4,0,0,7,436,3,0
"TNFRSF14",152,20,2,5,3,4,1,30,8,1,28,13,10,9,2,0,11,48,2,3,73,907,52,2
"RP3-395M20.9",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,43,1,0
"FAM213B",31,8,0,0,0,0,0,5,0,0,1,0,0,1,0,6,8,0,1,1,8,771,26,0
"MMEL1",5,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,154,2,0
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"TTC34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"LINC00982",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,2,1
"PRDM16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,43,3,2
"RP1-163G9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"ARHGEF16",7,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,428,2,0
"RP11-168F9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"MEGF6",10,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,6,0
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"TPRG1L",31,6,2,0,0,0,0,10,1,0,2,0,1,0,0,1,9,5,0,0,5,282,14,1
"WRAP73",22,9,2,1,2,1,0,6,7,0,6,6,3,2,3,0,10,6,1,3,14,329,18,0
"TP73",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,44,1,0
"TP73-AS1",12,2,0,0,1,0,0,6,0,0,0,1,0,1,0,0,1,2,1,0,5,3,8,0
"SMIM1",14,1,0,1,0,1,0,5,0,3,1,0,0,2,1,0,1,5,0,0,2,48,2,0
"LRRC47",18,18,1,1,2,0,0,12,1,0,4,5,1,0,0,0,6,4,1,0,15,349,16,5
"RP1-286D6.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CEP104",19,14,1,1,1,1,0,6,1,0,5,1,1,2,0,0,6,3,1,0,8,171,22,3
"DFFB",5,1,1,0,1,0,0,2,1,0,0,2,0,1,0,0,2,1,0,0,2,62,1,0
"C1orf174",41,19,0,2,4,2,0,19,1,2,5,3,3,3,0,0,11,14,2,4,13,328,14,2
"LINC01134",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0
"LINC01346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"NPHP4",7,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,3,0,0,2,33,3,0
"KCNAB2",124,4,2,3,7,2,0,2,6,2,7,7,9,11,1,0,1,30,10,3,31,209,8,1
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0
"RPL22",1902,1066,106,147,64,16,18,906,162,73,461,207,250,204,35,240,506,643,95,52,871,20596,1471,47
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0
"RNF207",10,9,0,1,1,0,0,11,1,1,2,0,1,0,0,0,5,0,0,0,6,110,6,0
"ICMT",48,27,2,1,0,0,0,12,1,1,1,2,1,3,0,0,14,12,2,1,8,469,32,3
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"GPR153",5,4,0,0,0,0,0,7,0,1,0,0,0,0,0,1,3,0,0,0,1,208,2,0
"ACOT7",40,22,0,8,3,0,0,11,10,8,2,5,3,6,1,7,8,6,3,2,7,1700,54,0
"RP1-202O8.3",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,0,0
"HES2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,10,0
"ESPN",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,187,0,0
"TNFRSF25",22,1,0,1,0,0,0,1,9,0,30,1,7,1,0,0,0,8,10,2,83,103,29,0
"PLEKHG5",3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,96,23,0
"NOL9",13,10,1,1,0,0,0,5,0,1,2,1,4,2,0,0,6,2,0,0,6,141,15,1
"ZBTB48",21,2,0,2,0,0,0,5,0,1,1,2,0,2,0,0,5,3,0,2,6,143,10,0
"KLHL21",10,2,0,0,1,0,1,1,0,0,1,0,1,3,0,1,4,3,1,0,4,142,7,0
"PHF13",5,4,0,0,0,0,0,5,0,0,0,1,0,1,0,0,3,0,0,1,1,73,6,0
"THAP3",23,21,2,1,2,0,0,16,0,0,5,3,4,3,1,0,5,2,0,0,9,149,16,0
"DNAJC11",52,23,0,1,1,1,0,11,1,2,3,4,3,2,0,2,11,7,1,2,17,433,30,1
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CAMTA1",231,101,5,7,5,1,0,61,5,4,16,9,3,5,5,18,55,75,7,8,53,1743,125,14
"RP4-549F15.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-338N10.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAMP3",183,52,0,9,1,0,0,35,0,2,7,4,2,1,2,9,24,36,0,1,23,994,99,7
"PER3",21,3,0,0,0,0,0,6,0,0,1,0,0,0,0,0,3,2,1,0,1,61,11,1
"UTS2",46,1,8,4,4,1,1,1,3,1,7,9,2,3,0,3,0,13,2,4,41,383,4,1
"TNFRSF9",17,0,1,0,1,0,0,0,1,2,0,3,0,2,0,0,0,9,3,1,71,9,0,0
"PARK7",594,398,29,43,18,13,5,329,60,17,94,80,28,35,4,50,170,168,42,27,328,7162,410,22
"ERRFI1",111,95,0,1,0,0,0,17,2,0,2,0,1,1,0,0,18,20,0,0,6,413,18,3
"RP11-431K24.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0
"RP11-431K24.4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"SLC45A1",2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,0
"RERE",39,19,1,0,0,0,1,17,4,2,3,3,2,1,1,0,9,8,2,0,17,405,35,0
"RP5-1115A15.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
"ENO1",1601,979,65,80,26,10,12,223,71,39,184,67,37,53,13,99,174,476,112,51,689,15475,567,17
"ENO1-AS1",2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,29,1,0
"SLC2A5",65,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GPR157",8,4,0,6,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,25,2,0
"MIR34AHG",5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,6,1,0
"RP3-510D11.2",0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"H6PD",34,26,2,0,0,0,0,27,3,0,2,2,1,1,0,1,7,8,0,1,4,154,23,0
"SPSB1",10,34,0,0,3,0,0,24,2,1,0,2,0,1,0,0,14,0,0,0,5,120,42,3
"SLC25A33",22,11,0,7,1,0,0,3,0,0,0,2,1,3,0,0,6,4,0,0,4,312,5,0
"TMEM201",10,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,67,9,0
"PIK3CD",31,1,3,6,1,1,1,0,1,0,1,2,2,3,0,0,3,6,1,2,6,5,2,0
"PIK3CD-AS2",1,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,3,15,0,0
"CLSTN1",70,32,5,0,3,1,0,17,1,1,3,0,0,1,0,0,15,17,0,1,19,1090,64,2
"CTNNBIP1",72,26,1,7,0,0,0,13,0,0,8,5,0,1,0,7,5,26,1,2,13,1019,50,0
"LZIC",60,18,0,3,4,1,0,9,3,0,9,8,0,4,0,5,12,18,4,3,21,567,16,1
"NMNAT1",16,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,4,0,0,2,105,9,0
"RBP7",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,112,0
"UBE4B",24,9,0,2,1,0,0,7,0,2,2,2,1,5,0,1,2,5,2,1,10,182,7,1
"KIF1B",40,16,1,2,1,1,0,9,0,0,1,1,0,0,0,0,8,7,0,0,3,289,18,2
"PGD",279,36,3,7,1,0,0,21,5,1,1,1,1,5,1,2,2,61,2,0,10,634,25,0
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"APITD1",13,12,0,5,0,0,0,3,1,0,1,1,2,0,0,1,1,1,0,2,3,223,4,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"DFFA",39,19,3,4,1,0,0,20,0,1,4,4,4,1,0,0,8,13,1,0,14,322,49,0
"PEX14",21,12,0,0,2,0,0,6,2,1,2,1,1,0,1,0,10,0,0,0,11,182,10,1
"CASZ1",1,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,3,2,0,1,3,337,4,0
"C1orf127",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",96,38,1,2,1,1,0,16,8,0,9,8,2,3,2,0,14,21,3,2,27,742,63,2
"RP4-635E18.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SRM",43,66,1,1,2,0,0,30,2,1,3,2,2,1,0,2,8,6,2,1,11,665,33,0
"EXOSC10",26,15,1,0,3,0,0,11,1,0,9,2,0,3,0,0,10,5,3,3,11,395,20,2
"RP4-635E18.6",1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,27,2,0
"MTOR",9,11,0,1,0,1,0,4,0,0,4,2,0,0,1,0,4,2,0,0,2,134,18,0
"ANGPTL7",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",15,11,1,0,1,0,0,8,1,0,4,1,1,2,0,1,1,4,2,1,9,118,12,1
"PTCHD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FBXO2",1,6,1,17,2,0,0,1,0,0,2,7,0,0,0,0,2,1,0,1,5,43,0,0
"FBXO44",15,7,1,2,2,0,0,13,1,0,6,7,0,6,0,0,5,4,0,0,4,53,4,0
"FBXO6",60,12,1,16,2,1,0,12,2,0,5,3,0,5,0,0,2,22,1,3,6,59,4,0
"MAD2L2",70,42,5,8,4,2,0,24,6,1,7,14,0,7,0,2,13,26,10,13,40,248,37,0
"DRAXIN",1,0,0,0,2,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,2,1,0,0
"AGTRAP",198,95,3,0,1,2,0,60,4,0,11,15,3,4,1,7,10,80,5,2,31,595,50,1
"C1orf167",1,8,0,0,0,0,0,24,0,0,0,1,0,0,0,0,2,0,0,0,0,7,1,2
"MTHFR",20,8,0,2,0,0,0,9,4,1,1,1,2,2,0,1,5,9,1,1,5,202,15,1
"CLCN6",26,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,124,1,2
"NPPA-AS1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0
"KIAA2013",72,15,1,3,2,0,0,19,1,1,3,3,1,1,1,3,13,5,0,0,9,608,32,1
"PLOD1",49,83,0,0,0,1,0,33,0,1,1,0,0,0,0,0,24,6,0,1,3,233,71,0
"MFN2",29,9,0,0,0,0,0,7,0,0,2,2,1,0,0,0,6,3,2,0,2,334,14,1
"MIIP",87,17,0,1,0,1,1,10,5,0,7,2,1,3,3,2,9,33,3,0,41,210,7,0
"TNFRSF8",11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,14,1,4,0
"TNFRSF1B",257,6,6,2,4,2,3,14,3,0,22,13,4,10,4,0,3,116,9,4,191,171,72,1
"VPS13D",30,6,1,1,1,1,0,23,1,1,2,3,2,0,1,2,16,3,0,0,6,336,12,4
"DHRS3",113,13,0,1,0,0,0,97,2,1,11,6,1,3,0,2,6,11,2,0,3,794,16,1
"RP11-474O21.5",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0
"HNRNPCL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"LRRC38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",140,385,0,1,0,0,0,164,0,0,0,1,0,0,0,0,0,6,0,0,0,22,1,0
"PRDM2",40,22,0,0,2,2,1,26,4,0,4,5,6,2,1,1,8,9,0,2,34,280,25,1
"RP11-344F13.1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",0,1,0,0,0,0,1,19,0,1,0,0,0,0,0,0,1,0,0,0,0,18,6,0
"TMEM51-AS1",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
"TMEM51",128,18,0,1,1,0,0,19,0,0,0,0,0,0,0,0,7,31,0,0,0,451,6,1
"C1orf195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FHAD1",26,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,1,29,1,0
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"EFHD2",309,27,3,11,4,0,0,11,1,4,17,4,5,20,1,9,10,112,12,4,68,2856,43,0
"CTRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"CASP9",7,4,0,2,0,0,0,5,2,0,4,0,0,2,0,1,0,2,1,0,11,90,23,0
"DNAJC16",21,10,1,0,1,0,0,5,1,0,0,1,1,2,0,1,2,4,0,0,3,124,9,1
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"AGMAT",0,1,0,0,0,0,0,1,1,0,1,3,1,0,0,1,1,0,1,1,5,162,2,0
"RP4-680D5.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"DDI2",27,12,0,1,0,0,0,6,1,1,4,1,0,1,1,0,1,6,0,0,2,235,18,0
"RP4-680D5.9",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLEKHM2",91,16,1,1,0,0,2,13,1,0,0,2,0,0,0,0,6,10,1,0,4,121,16,0
"SLC25A34",5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8,0,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
"FBLIM1",7,51,0,0,0,1,0,26,0,0,2,1,0,0,0,1,69,2,0,0,6,600,66,5
"UQCRHL",43,19,2,1,1,0,0,13,4,2,4,3,2,3,0,5,9,10,1,0,13,678,20,0
"FLJ37453",5,3,1,1,0,0,0,1,1,0,4,0,2,1,0,0,4,2,0,0,2,36,7,0
"SPEN",61,13,1,1,0,0,0,7,1,2,4,1,1,5,0,0,10,6,2,1,14,452,24,0
"ZBTB17",26,18,0,1,0,0,0,9,0,1,4,1,1,1,0,0,3,12,2,0,8,102,15,0
"C1orf64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPB7",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
"CLCNKB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17,1,0
"EPHA2",5,1,0,1,0,0,0,3,0,0,1,1,0,0,0,2,13,1,0,0,0,684,27,0
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
