"","ImmProt_Th17_01","ImmProt_Th17_02","ImmProt_Th17_03","ImmProt_Th17_04"
"6307",0,1,1,1
"6509",1,1,1,1
"1632",1,1,1,1
"56301",NA,NA,NA,NA
"492",0,1,0,0
"10455",0,1,1,0
"490",1,0,0,0
"6520",1,1,1,0
"1633",1,1,1,1
"211",0,1,1,0
"493",1,1,1,1
"6319",1,1,1,1
"9415",1,1,1,1
"491",NA,NA,NA,NA
"23464",1,0,0,1
"3992",0,0,1,1
"212",NA,NA,NA,NA
"8694",1,0,0,0
"847",1,1,1,1
"84649",1,1,1,1
"1716",0,0,1,1
"6546",0,0,1,0
"6547",NA,NA,NA,NA
"54407",1,0,0,0
"6541",0,1,0,0
"6543",NA,NA,NA,NA
"6515",0,0,1,1
"59272",NA,NA,NA,NA
"84889",NA,NA,NA,NA
"6517",NA,NA,NA,NA
"81539",1,1,0,0
"340024",NA,NA,NA,NA
"6513",0,1,1,1
"55089",NA,NA,NA,NA
"1718",1,1,1,1
"2538",NA,NA,NA,NA
"1581",NA,NA,NA,NA
"57818",NA,NA,NA,NA
"92579",0,1,1,0
"1373",0,1,0,0
"873",1,1,1,1
"11254",NA,NA,NA,NA
"57393",NA,NA,NA,NA
"6542",NA,NA,NA,NA
"84706",1,1,0,1
"1717",0,1,1,0
"2875",NA,NA,NA,NA
"8560",0,1,0,1
"10423",1,1,1,1
"123099",NA,NA,NA,NA
"92745",1,1,1,1
"10991",NA,NA,NA,NA
"1040",NA,NA,NA,NA
"11309",1,1,1,1
"8760",1,0,1,0
"284273",0,0,0,1
"6783",1,1,1,1
"1723",0,0,1,1
"10327",1,1,1,1
"10390",0,0,1,1
"56994",1,1,1,1
"1807",NA,NA,NA,NA
"64781",1,1,1,1
"1809",NA,NA,NA,NA
"8854",1,1,1,1
"1808",1,1,1,1
"10087",0,0,1,1
"23539",NA,NA,NA,NA
"6565",NA,NA,NA,NA
"9023",NA,NA,NA,NA
"224",0,0,1,1
"501",1,0,0,0
"2224",0,0,1,1
"1103",NA,NA,NA,NA
"29958",NA,NA,NA,NA
"60386",0,1,0,1
"223",1,1,1,1
"216",1,0,1,1
"162466",1,1,1,1
"84920",0,1,1,0
"5130",0,1,0,0
"9468",NA,NA,NA,NA
"6579",NA,NA,NA,NA
"217",0,0,1,0
"219",1,1,1,0
"79087",0,1,0,1
"239",0,0,1,0
"6555",NA,NA,NA,NA
"6554",NA,NA,NA,NA
"26002",NA,NA,NA,NA
"1621",1,1,1,1
"8647",NA,NA,NA,NA
"247",1,0,1,1
"7299",NA,NA,NA,NA
"55349",1,0,0,1
"6530",NA,NA,NA,NA
"246",0,1,0,1
"6531",NA,NA,NA,NA
"6581",NA,NA,NA,NA
"240",1,0,0,0
"231",1,1,1,1
"8574",1,1,1,1
"23600",1,1,1,1
"1119",NA,NA,NA,NA
"1120",0,1,0,1
"5224",NA,NA,NA,NA
"60482",NA,NA,NA,NA
"6582",NA,NA,NA,NA
"115286",1,0,0,1
"5223",1,1,1,1
"6584",NA,NA,NA,NA
"669",0,1,0,1
"271",0,0,1,0
"6820",NA,NA,NA,NA
"4597",0,1,1,1
"51071",0,1,1,1
"10948",0,1,1,0
"19",0,0,1,1
"272",1,1,1,1
"1806",0,1,1,1
"270",NA,NA,NA,NA
"7083",1,1,1,1
"290",1,0,0,0
"1118",0,1,0,0
"7084",1,1,0,0
"54682",NA,NA,NA,NA
"27159",NA,NA,NA,NA
"3704",1,1,1,1
"279",1,1,1,1
"277",1,1,1,1
"1854",1,1,1,1
"10682",0,1,1,1
"9058",NA,NA,NA,NA
"276",1,1,1,1
"278",NA,NA,NA,NA
"1892",1,1,1,1
"549",1,0,0,1
"11136",NA,NA,NA,NA
"6519",NA,NA,NA,NA
"1962",0,1,1,1
"280",1,1,1,1
"6576",1,1,1,1
"1891",1,1,1,1
"1160",NA,NA,NA,NA
"11001",1,0,0,0
"1159",1,1,1,1
"548596",1,1,1,1
"1152",0,1,0,0
"1158",0,0,1,0
"5172",NA,NA,NA,NA
"65010",NA,NA,NA,NA
"10998",NA,NA,NA,NA
"113451",NA,NA,NA,NA
"53919",NA,NA,NA,NA
"9057",1,1,0,0
"384",0,0,0,1
"28231",NA,NA,NA,NA
"54675",NA,NA,NA,NA
"10257",0,1,0,0
"10559",1,1,1,0
"445",0,1,0,0
"28232",NA,NA,NA,NA
"55907",1,1,1,1
"2108",1,1,1,1
"8034",0,0,1,1
"2109",1,1,1,1
"83884",NA,NA,NA,NA
"10166",0,1,0,1
"8824",NA,NA,NA,NA
"410",1,0,1,0
"2110",1,1,0,0
"51805",1,1,0,0
"55500",0,1,1,0
"427",1,0,1,1
"55224",NA,NA,NA,NA
"51004",1,1,0,0
"10229",0,1,0,1
"9962",NA,NA,NA,NA
"2181",0,1,0,0
"9245",NA,NA,NA,NA
"2650",0,1,1,0
"51301",0,0,0,1
"2182",1,1,0,1
"9963",NA,NA,NA,NA
"2180",0,1,1,0
"192134",NA,NA,NA,NA
"386757",NA,NA,NA,NA
"80150",1,1,1,1
"51703",1,0,1,0
"81616",NA,NA,NA,NA
"23305",0,1,1,1
"440",0,1,1,0
"6535",NA,NA,NA,NA
"1384",1,1,0,1
"116285",NA,NA,NA,NA
"6583",1,1,1,1
"5167",1,1,1,1
"790",1,1,1,1
"5169",1,1,1,1
"54898",NA,NA,NA,NA
"6511",NA,NA,NA,NA
"1431",1,1,1,1
"6785",NA,NA,NA,NA
"6505",NA,NA,NA,NA
"54677",0,0,1,1
"60481",1,0,1,0
"6507",1,1,1,1
"79071",NA,NA,NA,NA
"1579",NA,NA,NA,NA
"6512",NA,NA,NA,NA
"2194",0,1,1,0
"6506",1,1,1,1
"376497",1,0,0,1
"10999",0,1,0,0
"525",NA,NA,NA,NA
"11000",0,1,0,0
"230",1,1,1,1
"226",1,1,1,1
"527",1,1,1,0
"8140",1,1,0,0
"229",1,1,1,1
"23545",0,0,1,0
"5207",NA,NA,NA,NA
"526",1,1,1,1
"23428",NA,NA,NA,NA
"5208",1,0,1,1
"1036",NA,NA,NA,NA
"245973",NA,NA,NA,NA
"5210",1,1,1,1
"8789",0,1,1,0
"5209",1,1,0,0
"124935",0,1,0,0
"2203",0,1,0,0
"2235",1,1,1,1
"23657",1,1,1,1
"57379",1,1,1,1
"2629",0,1,0,1
"10840",NA,NA,NA,NA
"26301",NA,NA,NA,NA
"79901",0,1,0,0
"978",1,1,1,1
"7371",1,1,1,1
"83549",0,1,1,0
"7915",0,1,0,1
"125061",1,1,1,1
"4329",1,1,1,1
"51727",1,1,1,1
"1719",1,0,0,1
"129607",0,1,0,0
"2356",0,1,1,0
"2731",1,1,1,1
"29988",1,1,1,1
"275",0,0,1,1
"2653",1,1,0,0
"1609",0,0,1,1
"155184",NA,NA,NA,NA
"2651",NA,NA,NA,NA
"6514",NA,NA,NA,NA
"6518",0,0,0,1
"8525",0,1,1,0
"66035",NA,NA,NA,NA
"55343",NA,NA,NA,NA
"7264",1,1,1,1
"160428",NA,NA,NA,NA
"8836",1,1,0,1
"4522",1,1,1,1
"25902",1,0,0,1
"1608",1,0,0,0
"79017",1,0,0,1
"2519",0,0,1,0
"2997",0,1,0,1
"160851",1,0,0,1
"9162",NA,NA,NA,NA
"2184",1,0,1,0
"8527",1,1,1,1
"8908",NA,NA,NA,NA
"2271",1,1,1,1
"2992",1,1,1,1
"2523",NA,NA,NA,NA
"8526",0,1,1,0
"2998",NA,NA,NA,NA
"2525",NA,NA,NA,NA
"2687",NA,NA,NA,NA
"6470",0,1,1,1
"1606",1,1,1,1
"6472",1,1,1,1
"10690",NA,NA,NA,NA
"9334",1,0,1,0
"8704",NA,NA,NA,NA
"2717",0,0,1,1
"8703",1,1,1,1
"2632",1,0,0,1
"2683",1,0,1,0
"2820",1,1,0,0
"5832",1,1,1,0
"2990",1,0,0,0
"9563",0,1,0,1
"8372",0,1,1,0
"3290",1,1,1,1
"2539",0,1,1,1
"3291",NA,NA,NA,NA
"3292",NA,NA,NA,NA
"26035",1,0,1,0
"2542",0,0,1,0
"2593",0,1,0,0
"54480",0,1,0,0
"2132",1,0,1,0
"7923",1,1,0,1
"3294",NA,NA,NA,NA
"2131",1,1,1,1
"51478",0,1,0,0
"9514",NA,NA,NA,NA
"3283",NA,NA,NA,NA
"2720",1,1,0,0
"3284",NA,NA,NA,NA
"27087",NA,NA,NA,NA
"4758",1,0,1,1
"80270",1,1,1,1
"57026",0,1,1,0
"5476",0,0,1,1
"135152",NA,NA,NA,NA
"2588",0,1,0,1
"26229",0,1,0,1
"2581",0,0,1,1
"4669",0,0,1,0
"3421",1,1,1,1
"2583",NA,NA,NA,NA
"55454",0,0,1,0
"3420",1,1,1,1
"3340",0,1,0,0
"8509",0,1,1,0
"9348",NA,NA,NA,NA
"55790",0,1,1,0
"64579",NA,NA,NA,NA
"3419",1,1,1,1
"79586",0,1,1,0
"3417",0,1,1,0
"2137",NA,NA,NA,NA
"3418",1,1,1,1
"22856",1,0,0,1
"337876",NA,NA,NA,NA
"7173",NA,NA,NA,NA
"2135",0,0,1,1
"2134",NA,NA,NA,NA
"55568",1,0,1,0
"56606",1,1,1,1
"2590",1,0,1,0
"154091",NA,NA,NA,NA
"3425",1,0,1,0
"2591",1,0,0,0
"144195",NA,NA,NA,NA
"11182",1,1,1,1
"114805",NA,NA,NA,NA
"6523",NA,NA,NA,NA
"587",1,1,1,1
"8693",1,0,0,1
"63917",NA,NA,NA,NA
"50614",NA,NA,NA,NA
"8501",NA,NA,NA,NA
"2589",0,0,1,1
"178",0,1,1,1
"51809",0,1,0,0
"55586",NA,NA,NA,NA
"114134",1,1,1,1
"117248",NA,NA,NA,NA
"11227",NA,NA,NA,NA
"6526",1,0,0,0
"11226",1,1,0,1
"79695",NA,NA,NA,NA
"79623",NA,NA,NA,NA
"3422",0,1,0,1
"91734",NA,NA,NA,NA
"26290",NA,NA,NA,NA
"81031",NA,NA,NA,NA
"126792",0,1,1,0
"5837",NA,NA,NA,NA
"5836",0,1,0,0
"5834",1,1,1,1
"160728",NA,NA,NA,NA
"8801",1,1,1,1
"11285",1,0,1,0
"8802",1,1,1,1
"2729",0,1,0,1
"8972",0,0,0,1
"2618",1,1,1,1
"2730",0,1,1,1
"8803",1,1,1,1
"10723",0,0,0,1
"9990",0,1,0,0
"2746",1,1,1,1
"6560",1,1,1,1
"2747",1,1,1,1
"5019",1,1,1,1
"10841",NA,NA,NA,NA
"57468",NA,NA,NA,NA
"3795",0,1,1,0
"1629",1,1,1,1
"27165",NA,NA,NA,NA
"594",0,1,0,0
"2744",1,1,1,1
"8564",1,0,0,0
"3938",NA,NA,NA,NA
"593",1,1,1,0
"26873",0,0,1,1
"79751",1,0,1,0
"83733",NA,NA,NA,NA
"4942",0,1,1,0
"2639",1,1,1,1
"53",1,1,0,1
"3931",1,0,0,1
"7372",0,1,0,1
"57084",NA,NA,NA,NA
"1811",NA,NA,NA,NA
"246213",NA,NA,NA,NA
"57030",NA,NA,NA,NA
"387775",NA,NA,NA,NA
"10861",NA,NA,NA,NA
"1836",1,1,1,1
"124637",NA,NA,NA,NA
"51179",NA,NA,NA,NA
"54363",NA,NA,NA,NA
"366",1,1,1,1
"1583",1,1,1,1
"2628",0,0,1,0
"1584",NA,NA,NA,NA
"1585",NA,NA,NA,NA
"11283",1,0,0,0
"9380",1,1,1,1
"1586",NA,NA,NA,NA
"2713",NA,NA,NA,NA
"4047",0,1,1,0
"1588",NA,NA,NA,NA
"29124",NA,NA,NA,NA
"5321",1,1,1,1
"2710",1,0,1,0
"1576",NA,NA,NA,NA
"2712",0,0,1,1
"1178",1,1,0,0
"51268",NA,NA,NA,NA
"1056",NA,NA,NA,NA
"3029",1,1,1,1
"6536",NA,NA,NA,NA
"1589",NA,NA,NA,NA
"1593",0,1,0,0
"3990",NA,NA,NA,NA
"1548",NA,NA,NA,NA
"80339",NA,NA,NA,NA
"4023",1,0,1,1
"5226",1,1,1,1
"1553",NA,NA,NA,NA
"11343",0,0,0,1
"1562",NA,NA,NA,NA
"27232",NA,NA,NA,NA
"1558",NA,NA,NA,NA
"57678",NA,NA,NA,NA
"50487",NA,NA,NA,NA
"284098",NA,NA,NA,NA
"1559",NA,NA,NA,NA
"93183",0,0,1,1
"9227",1,1,1,1
"1565",1,1,1,1
"54965",1,0,1,0
"1572",NA,NA,NA,NA
"51302",NA,NA,NA,NA
"2936",1,1,1,1
"6309",NA,NA,NA,NA
"64816",NA,NA,NA,NA
"4048",1,1,1,1
"1577",NA,NA,NA,NA
"4056",1,1,1,1
"5052",1,1,1,1
"7001",1,1,1,1
"1551",NA,NA,NA,NA
"4259",1,1,1,1
"10858",NA,NA,NA,NA
"2876",1,1,1,1
"66002",1,1,1,1
"8529",NA,NA,NA,NA
"2879",1,1,1,1
"4258",0,1,1,0
"4051",1,1,0,0
"9420",1,1,1,1
"1582",NA,NA,NA,NA
"2877",NA,NA,NA,NA
"5831",1,0,0,0
"2878",1,0,1,1
"2954",0,1,0,1
"257202",NA,NA,NA,NA
"2882",0,0,1,1
"5048",1,1,1,1
"2548",0,0,0,1
"10935",1,1,1,1
"5051",1,0,1,1
"5050",1,1,1,1
"2937",0,1,1,1
"5049",1,1,1,1
"64087",1,1,1,1
"7941",0,1,0,0
"56922",1,1,1,0
"23417",1,0,0,1
"2678",0,1,1,0
"347734",1,0,0,1
"57194",NA,NA,NA,NA
"5337",0,1,0,0
"4357",1,0,0,1
"5338",1,0,1,1
"2679",NA,NA,NA,NA
"4190",0,0,1,1
"130013",NA,NA,NA,NA
"4191",1,1,1,1
"4200",1,1,1,1
"4881",NA,NA,NA,NA
"5091",0,1,0,1
"4882",NA,NA,NA,NA
"2984",NA,NA,NA,NA
"2974",NA,NA,NA,NA
"2982",0,0,1,0
"2986",NA,NA,NA,NA
"4199",0,1,1,0
"10873",1,1,1,1
"3620",0,1,0,0
"2983",1,0,0,1
"3000",0,0,0,1
"1557",NA,NA,NA,NA
"1545",1,0,0,0
"5244",NA,NA,NA,NA
"2977",NA,NA,NA,NA
"1543",1,1,1,1
"1544",NA,NA,NA,NA
"9615",NA,NA,NA,NA
"4144",0,1,1,1
"4143",1,1,1,1
"5150",0,1,0,0
"27430",1,1,1,1
"4548",0,0,1,0
"763",NA,NA,NA,NA
"5143",NA,NA,NA,NA
"11238",0,1,1,1
"4598",0,1,1,1
"5137",0,1,0,0
"3636",0,1,1,1
"5151",NA,NA,NA,NA
"23556",0,0,1,1
"55650",NA,NA,NA,NA
"3635",1,1,1,1
"3633",0,1,1,0
"8867",0,1,0,1
"5140",1,1,0,0
"27124",NA,NA,NA,NA
"53905",NA,NA,NA,NA
"50506",NA,NA,NA,NA
"5142",NA,NA,NA,NA
"343",NA,NA,NA,NA
"5281",NA,NA,NA,NA
"3632",1,1,1,1
"10846",NA,NA,NA,NA
"84720",1,0,1,0
"56623",NA,NA,NA,NA
"5141",1,1,1,1
"8622",NA,NA,NA,NA
"3628",0,1,1,0
"3707",0,0,1,1
"80235",NA,NA,NA,NA
"5144",1,0,0,0
"3706",NA,NA,NA,NA
"5153",NA,NA,NA,NA
"80271",0,0,1,1
"94005",0,1,1,0
"27115",NA,NA,NA,NA
"128869",0,1,1,0
"51477",0,1,0,0
"10026",1,0,1,0
"5138",1,1,1,1
"51604",0,0,1,1
"3631",0,1,1,0
"5139",1,1,1,1
"8821",1,1,1,1
"50940",NA,NA,NA,NA
"2595",1,1,0,0
"84693",0,0,1,0
"8733",1,1,0,0
"5136",NA,NA,NA,NA
"4594",0,0,1,1
"3028",1,1,1,1
"5152",NA,NA,NA,NA
"3033",1,1,1,1
"3037",NA,NA,NA,NA
"80168",NA,NA,NA,NA
"116255",NA,NA,NA,NA
"5146",NA,NA,NA,NA
"4507",1,1,1,1
"3038",NA,NA,NA,NA
"3036",NA,NA,NA,NA
"27235",NA,NA,NA,NA
"6521",1,0,1,0
"83697",NA,NA,NA,NA
"10797",0,1,0,0
"56913",1,0,1,0
"443",NA,NA,NA,NA
"91703",1,1,1,1
"6522",0,0,1,1
"6508",NA,NA,NA,NA
"5145",NA,NA,NA,NA
"4668",0,1,0,0
"9498",NA,NA,NA,NA
"57282",1,1,1,1
"6528",NA,NA,NA,NA
"3098",1,1,1,1
"80201",NA,NA,NA,NA
"8654",0,0,0,1
"2645",NA,NA,NA,NA
"483",1,1,1,1
"3101",1,1,0,1
"5149",1,1,1,1
"478",1,1,1,1
"480",NA,NA,NA,NA
"481",1,0,0,1
"3099",0,0,1,0
"5147",0,1,1,0
"482",NA,NA,NA,NA
"476",1,1,1,1
"477",1,1,0,0
"23439",NA,NA,NA,NA
"3081",1,1,1,1
"11112",1,1,1,1
"3067",1,1,1,1
"6549",NA,NA,NA,NA
"6550",NA,NA,NA,NA
"5148",NA,NA,NA,NA
"496",NA,NA,NA,NA
"6548",0,0,1,1
"495",1,1,1,1
"55748",1,1,1,1
"5158",NA,NA,NA,NA
"84735",1,0,0,0
"6559",NA,NA,NA,NA
"8942",1,1,0,1
"5162",1,1,1,1
"3157",0,1,1,0
"5161",NA,NA,NA,NA
"123041",NA,NA,NA,NA
"1737",1,1,1,1
"3158",NA,NA,NA,NA
"5160",1,1,1,1
"55163",0,1,1,1
"25769",NA,NA,NA,NA
"54511",NA,NA,NA,NA
"10396",1,1,0,1
"57419",NA,NA,NA,NA
"9187",NA,NA,NA,NA
"5105",NA,NA,NA,NA
"124583",0,1,0,1
"3155",1,1,1,1
"5106",0,0,0,1
"3162",0,0,1,1
"3163",1,1,1,1
"79077",0,1,1,0
"8310",1,0,1,0
"9583",1,0,1,1
"26062",NA,NA,NA,NA
"197257",1,0,0,0
"5833",0,1,1,1
"1841",1,1,1,1
"10400",NA,NA,NA,NA
"6448",0,0,1,1
"29922",1,0,1,1
"26227",0,1,0,0
"10201",1,0,1,0
"5730",1,1,1,1
"4830",1,1,1,1
"27306",0,0,1,0
"80142",0,1,1,1
"4831",1,1,1,1
"4832",0,0,0,1
"200576",1,0,0,0
"8396",0,1,0,1
"9536",0,0,1,0
"4833",0,0,0,1
"6005",1,1,1,1
"79837",0,1,1,0
"5740",1,1,1,1
"5289",0,1,0,1
"57127",NA,NA,NA,NA
"6557",NA,NA,NA,NA
"5277",NA,NA,NA,NA
"114971",0,1,0,0
"6558",0,1,0,0
"349565",1,0,0,1
"9489",1,0,1,1
"64802",0,0,1,1
"23057",NA,NA,NA,NA
"8818",NA,NA,NA,NA
"5743",1,1,1,1
"5742",1,1,0,0
"10135",1,1,1,1
"6898",NA,NA,NA,NA
"5053",NA,NA,NA,NA
"5283",NA,NA,NA,NA
"5264",NA,NA,NA,NA
"4837",NA,NA,NA,NA
"5409",NA,NA,NA,NA
"5728",0,1,1,0
"645740",NA,NA,NA,NA
"8871",1,1,0,0
"51227",NA,NA,NA,NA
"8395",1,1,1,1
"9091",0,1,1,0
"4842",NA,NA,NA,NA
"23396",0,1,1,1
"4843",NA,NA,NA,NA
"5279",NA,NA,NA,NA
"8394",0,1,1,1
"55361",1,0,1,0
"201288",NA,NA,NA,NA
"4846",NA,NA,NA,NA
"5297",0,1,1,0
"4860",1,1,1,1
"5298",0,1,1,0
"5294",0,1,0,1
"123745",NA,NA,NA,NA
"5290",0,1,1,0
"6580",NA,NA,NA,NA
"5295",1,1,1,1
"10870",1,1,1,1
"55808",NA,NA,NA,NA
"5251",1,0,1,0
"5320",NA,NA,NA,NA
"8503",NA,NA,NA,NA
"30833",0,1,0,1
"81579",NA,NA,NA,NA
"56953",NA,NA,NA,NA
"23533",0,1,0,0
"8398",0,1,1,1
"5296",NA,NA,NA,NA
"5322",NA,NA,NA,NA
"4907",1,1,0,0
"5291",0,1,1,0
"5293",0,1,1,1
"6476",NA,NA,NA,NA
"5009",NA,NA,NA,NA
"4952",1,1,1,1
"64600",NA,NA,NA,NA
"64064",NA,NA,NA,NA
"23236",1,1,1,1
"100137049",NA,NA,NA,NA
"30814",NA,NA,NA,NA
"26279",1,1,1,1
"5335",0,1,1,0
"8399",NA,NA,NA,NA
"5332",1,1,1,1
"257068",NA,NA,NA,NA
"5319",NA,NA,NA,NA
"6489",NA,NA,NA,NA
"5336",0,1,1,0
"23007",NA,NA,NA,NA
"29906",NA,NA,NA,NA
"5334",0,0,1,1
"10654",1,1,1,1
"9651",0,1,1,0
"9807",1,0,1,0
"412",1,1,1,1
"51196",NA,NA,NA,NA
"117283",NA,NA,NA,NA
"5331",0,0,0,1
"84812",NA,NA,NA,NA
"5330",1,1,1,1
"6391",0,1,1,1
"113026",NA,NA,NA,NA
"6392",0,1,1,1
"6390",1,1,1,1
"51447",NA,NA,NA,NA
"5333",0,1,1,0
"6389",1,1,1,1
"6821",1,0,0,1
"89869",0,1,0,0
"6533",0,0,0,1
"5288",NA,NA,NA,NA
"55350",NA,NA,NA,NA
"5092",0,1,0,0
"5287",0,0,1,0
"23530",1,1,1,1
"5286",0,1,1,0
"8876",0,0,0,1
"79178",1,1,1,0
"5305",1,1,1,1
"8875",1,1,1,1
"64499",0,0,0,1
"6567",NA,NA,NA,NA
"7177",0,0,0,1
"1890",1,1,1,1
"27068",1,1,1,1
"1636",0,1,1,0
"9365",NA,NA,NA,NA
"9331",NA,NA,NA,NA
"55217",0,1,0,0
"7368",1,1,1,1
"7296",1,1,1,1
"8613",NA,NA,NA,NA
"5315",1,1,1,1
"8611",1,1,1,1
"26063",1,1,1,1
"8612",NA,NA,NA,NA
"1666",1,1,1,1
