"","x"
"139596",0
"1337",1
"55066",1
"4514",2
"10825",2
"283208",0
"7903",2
"1351",2
"84701",0
"5033",1
"1350",3
"8974",0
"4512",1
"8513",0
"58478",2
"55256",2
"5408",0
"170712",0
"259307",0
"9377",3
"51312",0
"9167",2
"1340",3
"57104",1
"81894",0
"13",0
"1349",0
"29085",2
"9388",1
"5407",0
"9107",2
"22908",3
"163404",0
"3991",1
"22876",1
"221955",0
"5406",0
"9896",1
"747",0
"51559",1
"119548",0
"646486",0
"9108",0
"84814",0
"23371",0
"2167",1
"2172",0
"8446",2
"2173",0
"51496",1
"374462",1
"2169",0
"403313",0
"23203",2
"2171",3
"145553",0
"646480",1
"2170",0
"64419",2
"54988",0
"55613",0
"341392",1
"138639",0
"9562",0
"123876",0
"3705",0
"6296",0
"138429",0
"348158",0
"344967",0
"10170",1
"9249",1
"220074",0
"51099",0
"154141",1
"1733",0
"253558",1
"64748",0
"23175",2
"1735",0
"1734",1
"27284",1
"6819",1
"84513",0
"79948",0
"84274",1
"9890",0
"84787",0
"79813",0
"64900",0
"9663",2
"9757",0
"196051",0
"9869",1
"85465",0
"23646",1
"122618",1
"29072",1
"201164",1
"590",1
"80854",0
"55750",3
"387893",3
"84444",0
"4297",0
"91012",1
"204219",0
"10715",0
"58508",1
"253782",1
"55870",1
"29956",2
"10919",1
"6839",0
"79603",0
"64324",0
"56624",0
"6419",0
"170384",1
"23067",2
"56886",1
"54904",1
"2526",0
"152586",0
"148789",0
"200810",0
"55624",0
"64754",0
"56983",2
"79723",1
"644378",1
"55904",1
"644974",0
"8702",0
"9739",0
"8473",2
"55830",1
"7468",0
"3703",2
"83852",1
"8085",0
"283358",0
"51111",1
"55757",0
"60559",3
"23478",3
"146664",0
"28972",3
"2529",2
"360203",0
"90701",0
"9789",3
"57171",1
"4249",0
"25834",0
"7837",0
"140687",0
"137902",0
"8708",0
"9677",0
"23262",0
"201595",2
"26007",1
"83468",0
"158584",1
"84752",0
"283209",0
"145173",0
"23491",0
"124872",0
"84750",0
"221223",0
"338707",0
"1066",1
"1208",1
"146802",0
"168391",0
"55244",0
"345274",0
"116085",1
"8707",0
"123688",0
"51228",2
"51171",0
"284004",0
"79411",0
"51741",0
"27090",2
"129807",0
"441282",1
"2524",0
"10202",2
"2527",0
"10553",2
"121214",0
"374875",0
"2528",0
"113612",0
"56898",1
"493869",0
"1487",3
"64174",2
"100288072",0
"64180",0
"93517",0
"10728",3
"84869",1
"340811",0
"91179",0
"133121",0
"11102",1
"85007",1
"250",0
"8644",0
"10826",0
"251",0
"266740",0
"200931",0
"3930",3
"123264",0
"10941",0
"79799",0
"4645",0
"5446",0
"4864",1
"506",2
"3069",2
"10632",3
"515",3
"10476",3
"513",3
"522",3
"539",3
"9551",2
"516",1
"509",3
"518",0
"27109",0
"514",1
"4905",3
"517",1
"521",3
"498",3
"267020",0
"27089",3
"10975",1
"7381",2
"4519",1
