"","original","FASTcore","GIMME","IMAT","CORDA","tINIT"
"HMR_3905",2,"Present","2","2","High","15"
"HMR_3907",3,"Present","2","2","High","20"
"HMR_4097",0,"-","0","0","Negative","-8"
"HMR_4099",1,"Present","1","1","Medium","10"
"HMR_4108",0,"-","0","0","Negative","-8"
"HMR_4133",0,"-","0","0","Negative","-8"
"HMR_4137",0,"-","0","0","Negative","-8"
"HMR_4281",3,"Present","2","2","High","20"
"HMR_4388",3,"Present","2","2","High","20"
"HMR_4283",1,"Present","1","1","Medium","10"
"HMR_8357",3,"Present","2","2","High","20"
"HMR_4379",3,"Present","2","2","High","20"
"HMR_4301",3,"Present","2","2","High","20"
"HMR_4355",3,"Present","2","2","High","20"
"HMR_4358",3,"Present","2","2","High","20"
"HMR_4360",0,"-","0","0","Negative","-8"
"HMR_4363",3,"Present","2","2","High","20"
"HMR_4365",3,"Present","2","2","High","20"
"HMR_4368",3,"Present","2","2","High","20"
"HMR_4370",1,"Present","1","1","Medium","10"
"HMR_4371",3,"Present","2","2","High","20"
"HMR_4372",2,"Present","2","2","High","15"
"HMR_4373",3,"Present","2","2","High","20"
"HMR_4375",3,"Present","2","2","High","20"
"HMR_4377",1,"Present","1","1","Medium","10"
"HMR_4381",3,"Present","2","2","High","20"
"HMR_4391",3,"Present","2","2","High","20"
"HMR_4394",3,"Present","2","2","High","20"
"HMR_4396",3,"Present","2","2","High","20"
"HMR_4521",1,"Present","1","1","Medium","10"
"HMR_6410",3,"Present","2","2","High","20"
"HMR_6412",3,"Present","2","2","High","20"
"HMR_7745",0,"-","0","0","Negative","-8"
"HMR_7746",3,"Present","2","2","High","20"
"HMR_7747",1,"Present","1","1","Medium","10"
"HMR_7748",3,"Present","2","2","High","20"
"HMR_7749",3,"Present","2","2","High","20"
"HMR_8360",3,"Present","2","2","High","20"
"HMR_8757",0,"-","0","0","Negative","-8"
"HMR_3989",0,"-","0","0","Negative","-8"
"HMR_4122",2,"Present","2","2","High","15"
"HMR_4837",2,"Present","2","2","High","15"
"HMR_5395",2,"Present","2","2","High","15"
"HMR_5396",2,"Present","2","2","High","15"
"HMR_9727",1,"Present","1","1","Medium","10"
"HMR_5397",1,"Present","1","1","Medium","10"
"HMR_5398",3,"Present","2","2","High","20"
"HMR_5399",0,"-","0","0","Negative","-8"
"HMR_5400",0,"-","0","0","Negative","-8"
"HMR_5401",3,"Present","2","2","High","20"
"HMR_8568",2,"Present","2","2","High","15"
"HMR_8569",2,"Present","2","2","High","15"
"HMR_8570",2,"Present","2","2","High","15"
"HMR_8571",2,"Present","2","2","High","15"
"HMR_8572",2,"Present","2","2","High","15"
"HMR_8573",2,"Present","2","2","High","15"
"HMR_8574",2,"Present","2","2","High","15"
"HMR_8575",2,"Present","2","2","High","15"
"HMR_8576",2,"Present","2","2","High","15"
"HMR_8577",2,"Present","2","2","High","15"
"HMR_8578",2,"Present","2","2","High","15"
"HMR_8579",2,"Present","2","2","High","15"
"HMR_8581",2,"Present","2","2","High","15"
"HMR_8591",0,"-","0","0","Negative","-8"
"HMR_8592",0,"-","0","0","Negative","-8"
"HMR_8580",2,"Present","2","2","High","15"
"HMR_8582",2,"Present","2","2","High","15"
"HMR_8587",0,"-","0","0","Negative","-8"
"HMR_8589",0,"-","0","0","Negative","-8"
"HMR_8583",0,"-","0","0","Negative","-8"
"HMR_8584",0,"-","0","0","Negative","-8"
"HMR_8585",0,"-","0","0","Negative","-8"
"HMR_3944",3,"Present","2","2","High","20"
"HMR_4128",0,"-","0","0","Negative","-8"
"HMR_4130",1,"Present","1","1","Medium","10"
"HMR_4131",2,"Present","2","2","High","15"
"HMR_4132",2,"Present","2","2","High","15"
"HMR_4303",0,"-","0","0","Negative","-8"
"HMR_4414",1,"Present","1","1","Medium","10"
"HMR_4415",0,"-","0","0","Negative","-8"
"HMR_4416",2,"Present","2","2","High","15"
"HMR_4774",3,"Present","2","2","High","20"
"HMR_4775",3,"Present","2","2","High","20"
"HMR_4831",NA,"-","-1","-1","-","-2"
"HMR_4832",0,"-","0","0","Negative","-8"
"HMR_7674",2,"Present","2","2","High","15"
"HMR_8761",0,"-","0","0","Negative","-8"
"HMR_8762",3,"Present","2","2","High","20"
"HMR_8764",0,"-","0","0","Negative","-8"
"HMR_8766",3,"Present","2","2","High","20"
"HMR_8767",2,"Present","2","2","High","15"
"HMR_0454",NA,"-","-1","-1","-","-2"
"HMR_4297",1,"Present","1","1","Medium","10"
"HMR_4315",1,"Present","1","1","Medium","10"
"HMR_4316",3,"Present","2","2","High","20"
"HMR_4319",3,"Present","2","2","High","20"
"HMR_4383",0,"-","0","0","Negative","-8"
"HMR_4385",1,"Present","1","1","Medium","10"
"HMR_4386",2,"Present","2","2","High","15"
"HMR_4387",2,"Present","2","2","High","15"
"HMR_4399",1,"Present","1","1","Medium","10"
"HMR_4400",2,"Present","2","2","High","15"
"HMR_4401",0,"-","0","0","Negative","-8"
"HMR_4402",0,"-","0","0","Negative","-8"
"HMR_4490",3,"Present","2","2","High","20"
"HMR_4706",1,"Present","1","1","Medium","10"
"HMR_8768",2,"Present","2","2","High","15"
"HMR_4590",3,"Present","2","2","High","20"
"HMR_4591",2,"Present","2","2","High","15"
"HMR_4592",3,"Present","2","2","High","20"
"HMR_4593",1,"Present","1","1","Medium","10"
"HMR_4595",0,"-","0","0","Negative","-8"
"HMR_8341",3,"Present","2","2","High","20"
"HMR_8342",NA,"-","-1","-1","-","-2"
"HMR_8344",3,"Present","2","2","High","20"
"HMR_8352",0,"-","0","0","Negative","-8"
"HMR_8353",NA,"-","-1","-1","-","-2"
"HMR_8726",0,"-","0","0","Negative","-8"
"HMR_8727",2,"Present","2","2","High","15"
"HMR_8728",NA,"-","-1","-1","-","-2"
"HMR_8729",2,"Present","2","2","High","15"
"HMR_6537",3,"Present","2","2","High","20"
"HMR_1568",1,"Present","1","1","Medium","10"
"HMR_3853",3,"Present","2","2","High","20"
"HMR_3854",3,"Present","2","2","High","20"
"HMR_3855",3,"Present","2","2","High","20"
"HMR_3857",2,"Present","2","2","High","15"
"HMR_3859",0,"-","0","0","Negative","-8"
"HMR_4087",3,"Present","2","2","High","20"
"HMR_4089",0,"-","0","0","Negative","-8"
"HMR_4091",3,"Present","2","2","High","20"
"HMR_4093",0,"-","0","0","Negative","-8"
"HMR_4095",0,"-","0","0","Negative","-8"
"HMR_4101",0,"-","0","0","Negative","-8"
"HMR_4103",1,"Present","1","1","Medium","10"
"HMR_4143",0,"-","0","0","Negative","-8"
"HMR_4193",3,"Present","2","2","High","20"
"HMR_8497",3,"Present","2","2","High","20"
"HMR_8498",0,"-","0","0","Negative","-8"
"HMR_8499",0,"-","0","0","Negative","-8"
"HMR_8500",3,"Present","2","2","High","20"
"HMR_8501",3,"Present","2","2","High","20"
"HMR_8502",2,"Present","2","2","High","15"
"HMR_8503",3,"Present","2","2","High","20"
"HMR_8504",3,"Present","2","2","High","20"
"HMR_8506",3,"Present","2","2","High","20"
"HMR_8507",2,"Present","2","2","High","15"
"HMR_8508",2,"Present","2","2","High","15"
"HMR_8509",3,"Present","2","2","High","20"
"HMR_8511",2,"Present","2","2","High","15"
"HMR_8512",0,"-","0","0","Negative","-8"
"HMR_8514",0,"-","0","0","Negative","-8"
"HMR_8516",2,"Present","2","2","High","15"
"HMR_8517",NA,"-","-1","-1","-","-2"
"HMR_4280",3,"Present","2","2","High","20"
"HMR_0153",1,"Present","1","1","Medium","10"
"HMR_3212",3,"Present","2","2","High","20"
"HMR_3797",1,"Present","1","1","Medium","10"
"HMR_3800",0,"-","0","0","Negative","-8"
"HMR_4105",0,"-","0","0","Negative","-8"
"HMR_4106",0,"-","0","0","Negative","-8"
"HMR_4107",0,"-","0","0","Negative","-8"
"HMR_4282",1,"Present","1","1","Medium","10"
"HMR_4331",1,"Present","1","1","Medium","10"
"HMR_4459",1,"Present","1","1","Medium","10"
"HMR_4460",1,"Present","1","1","Medium","10"
"HMR_4464",NA,"-","-1","-1","-","-2"
"HMR_4497",2,"Present","2","2","High","15"
"HMR_4741",1,"Present","1","1","Medium","10"
"HMR_8078",NA,"-","-1","-1","-","-2"
"HMR_9803",NA,"-","-1","-1","-","-2"
"HMR_9804",3,"Present","2","2","High","20"
"HMR_1434",3,"Present","2","2","High","20"
"HMR_1436",1,"Present","1","1","Medium","10"
"HMR_3163",3,"Present","2","2","High","20"
"HMR_4461",1,"Present","1","1","Medium","10"
"HMR_4604",0,"-","0","0","Negative","-8"
"HMR_5351",3,"Present","2","2","High","20"
"HMR_7709",0,"-","0","0","Negative","-8"
"HMR_4052",3,"Present","2","2","High","20"
"HMR_4304",1,"Present","1","1","Medium","10"
"HMR_4306",1,"Present","1","1","Medium","10"
"HMR_4350",1,"Present","1","1","Medium","10"
"HMR_4351",2,"Present","2","2","High","15"
"HMR_4352",2,"Present","2","2","High","15"
"HMR_4354",3,"Present","2","2","High","20"
"HMR_4398",0,"-","0","0","Negative","-8"
"HMR_4404",3,"Present","2","2","High","20"
"HMR_4473",3,"Present","2","2","High","20"
"HMR_4474",3,"Present","2","2","High","20"
"HMR_4476",1,"Present","1","1","Medium","10"
"HMR_4477",0,"-","0","0","Negative","-8"
"HMR_4501",3,"Present","2","2","High","20"
"HMR_4565",3,"Present","2","2","High","20"
"HMR_4567",3,"Present","2","2","High","20"
"HMR_4568",3,"Present","2","2","High","20"
"HMR_4623",2,"Present","2","2","High","15"
"HMR_4625",2,"Present","2","2","High","15"
"HMR_4710",3,"Present","2","2","High","20"
"HMR_4841",1,"Present","1","1","Medium","10"
"HMR_8074",1,"Present","1","1","Medium","10"
"HMR_8653",2,"Present","2","2","High","15"
"HMR_3998",1,"Present","1","1","Medium","10"
"HMR_4000",3,"Present","2","2","High","20"
"HMR_4002",3,"Present","2","2","High","20"
"HMR_4004",3,"Present","2","2","High","20"
"HMR_4010",2,"Present","2","2","High","15"
"HMR_4081",2,"Present","2","2","High","15"
"HMR_4082",2,"Present","2","2","High","15"
"HMR_4012",3,"Present","2","2","High","20"
"HMR_4014",2,"Present","2","2","High","15"
"HMR_4020",2,"Present","2","2","High","15"
"HMR_4022",3,"Present","2","2","High","20"
"HMR_4038",3,"Present","2","2","High","20"
"HMR_4040",3,"Present","2","2","High","20"
"HMR_4042",2,"Present","2","2","High","15"
"HMR_4046",2,"Present","2","2","High","15"
"HMR_4048",2,"Present","2","2","High","15"
"HMR_4080",2,"Present","2","2","High","15"
"HMR_4085",3,"Present","2","2","High","20"
"HMR_4086",3,"Present","2","2","High","20"
"HMR_4134",1,"Present","1","1","Medium","10"
"HMR_4135",2,"Present","2","2","High","15"
"HMR_4168",3,"Present","2","2","High","20"
"HMR_4171",3,"Present","2","2","High","20"
"HMR_4290",1,"Present","1","1","Medium","10"
"HMR_4406",1,"Present","1","1","Medium","10"
"HMR_4412",3,"Present","2","2","High","20"
"HMR_4417",2,"Present","2","2","High","15"
"HMR_4418",3,"Present","2","2","High","20"
"HMR_4419",2,"Present","2","2","High","15"
"HMR_4421",3,"Present","2","2","High","20"
"HMR_4449",2,"Present","2","2","High","15"
"HMR_4450",2,"Present","2","2","High","15"
"HMR_4451",NA,"-","-1","-1","-","-2"
"HMR_4452",3,"Present","2","2","High","20"
"HMR_4453",2,"Present","2","2","High","15"
"HMR_4480",3,"Present","2","2","High","20"
"HMR_4481",3,"Present","2","2","High","20"
"HMR_4482",3,"Present","2","2","High","20"
"HMR_4486",3,"Present","2","2","High","20"
"HMR_4487",3,"Present","2","2","High","20"
"HMR_4488",3,"Present","2","2","High","20"
"HMR_4489",3,"Present","2","2","High","20"
"HMR_4492",3,"Present","2","2","High","20"
"HMR_4493",3,"Present","2","2","High","20"
"HMR_4495",3,"Present","2","2","High","20"
"HMR_4496",3,"Present","2","2","High","20"
"HMR_4518",0,"-","0","0","Negative","-8"
"HMR_4519",0,"-","0","0","Negative","-8"
"HMR_4520",0,"-","0","0","Negative","-8"
"HMR_4573",3,"Present","2","2","High","20"
"HMR_4574",3,"Present","2","2","High","20"
"HMR_4600",2,"Present","2","2","High","15"
"HMR_4602",2,"Present","2","2","High","15"
"HMR_4603",3,"Present","2","2","High","20"
"HMR_4611",1,"Present","1","1","Medium","10"
"HMR_4612",1,"Present","1","1","Medium","10"
"HMR_4614",1,"Present","1","1","Medium","10"
"HMR_4615",1,"Present","1","1","Medium","10"
"HMR_4617",1,"Present","1","1","Medium","10"
"HMR_4618",1,"Present","1","1","Medium","10"
"HMR_4619",1,"Present","1","1","Medium","10"
"HMR_4621",1,"Present","1","1","Medium","10"
"HMR_4632",2,"Present","2","2","High","15"
"HMR_4646",0,"-","0","0","Negative","-8"
"HMR_4648",0,"-","0","0","Negative","-8"
"HMR_4649",0,"-","0","0","Negative","-8"
"HMR_4650",0,"-","0","0","Negative","-8"
"HMR_4651",3,"Present","2","2","High","20"
"HMR_4663",3,"Present","2","2","High","20"
"HMR_4664",3,"Present","2","2","High","20"
"HMR_4694",3,"Present","2","2","High","20"
"HMR_4695",3,"Present","2","2","High","20"
"HMR_4705",2,"Present","2","2","High","15"
"HMR_4709",3,"Present","2","2","High","20"
"HMR_4799",2,"Present","2","2","High","15"
"HMR_4802",2,"Present","2","2","High","15"
"HMR_4804",2,"Present","2","2","High","15"
"HMR_4808",0,"-","0","0","Negative","-8"
"HMR_4810",2,"Present","2","2","High","15"
"HMR_4812",3,"Present","2","2","High","20"
"HMR_4814",3,"Present","2","2","High","20"
"HMR_5301",2,"Present","2","2","High","15"
"HMR_5353",2,"Present","2","2","High","15"
"HMR_6602",3,"Present","2","2","High","20"
"HMR_6603",3,"Present","2","2","High","20"
"HMR_6605",NA,"-","-1","-1","-","-2"
"HMR_6606",NA,"-","-1","-1","-","-2"
"HMR_6607",NA,"-","-1","-1","-","-2"
"HMR_6610",NA,"-","-1","-1","-","-2"
"HMR_6611",NA,"-","-1","-1","-","-2"
"HMR_7144",2,"Present","2","2","High","15"
"HMR_8755",0,"-","0","0","Negative","-8"
"HMR_9797",NA,"-","-1","-1","-","-2"
"HMR_4016",3,"Present","2","2","High","20"
"HMR_4018",3,"Present","2","2","High","20"
"HMR_4044",3,"Present","2","2","High","20"
"HMR_4291",3,"Present","2","2","High","20"
"HMR_4420",3,"Present","2","2","High","20"
"HMR_4570",3,"Present","2","2","High","20"
"HMR_4572",3,"Present","2","2","High","20"
"HMR_4006",3,"Present","2","2","High","20"
"HMR_4028",3,"Present","2","2","High","20"
"HMR_4030",3,"Present","2","2","High","20"
"HMR_4670",3,"Present","2","2","High","20"
"HMR_4673",3,"Present","2","2","High","20"
"HMR_4675",3,"Present","2","2","High","20"
"HMR_6614",3,"Present","2","2","High","20"
"HMR_6615",3,"Present","2","2","High","20"
"HMR_6616",3,"Present","2","2","High","20"
"HMR_4635",3,"Present","2","2","High","20"
"HMR_3793",0,"-","0","0","Negative","-8"
"HMR_3931",2,"Present","2","2","High","15"
"HMR_3969",0,"-","0","0","Negative","-8"
"HMR_3970",2,"Present","2","2","High","15"
"HMR_4008",3,"Present","2","2","High","20"
"HMR_4032",1,"Present","1","1","Medium","10"
"HMR_4034",3,"Present","2","2","High","20"
"HMR_4036",0,"-","0","0","Negative","-8"
"HMR_4050",3,"Present","2","2","High","20"
"HMR_4056",2,"Present","2","2","High","15"
"HMR_4059",1,"Present","1","1","Medium","10"
"HMR_4060",1,"Present","1","1","Medium","10"
"HMR_4127",2,"Present","2","2","High","15"
"HMR_4177",2,"Present","2","2","High","15"
"HMR_4179",2,"Present","2","2","High","15"
"HMR_4182",2,"Present","2","2","High","15"
"HMR_4183",1,"Present","1","1","Medium","10"
"HMR_4192",1,"Present","1","1","Medium","10"
"HMR_4194",1,"Present","1","1","Medium","10"
"HMR_4210",3,"Present","2","2","High","20"
"HMR_4211",3,"Present","2","2","High","20"
"HMR_4343",0,"-","0","0","Negative","-8"
"HMR_4345",2,"Present","2","2","High","15"
"HMR_4346",3,"Present","2","2","High","20"
"HMR_4470",2,"Present","2","2","High","15"
"HMR_4471",2,"Present","2","2","High","15"
"HMR_4472",2,"Present","2","2","High","15"
"HMR_4484",2,"Present","2","2","High","15"
"HMR_4485",3,"Present","2","2","High","20"
"HMR_4510",2,"Present","2","2","High","15"
"HMR_4512",3,"Present","2","2","High","20"
"HMR_4513",3,"Present","2","2","High","20"
"HMR_4514",3,"Present","2","2","High","20"
"HMR_4577",0,"-","0","0","Negative","-8"
"HMR_4579",2,"Present","2","2","High","15"
"HMR_4580",3,"Present","2","2","High","20"
"HMR_4608",3,"Present","2","2","High","20"
"HMR_4575",0,"-","0","0","Negative","-8"
"HMR_4637",2,"Present","2","2","High","15"
"HMR_4642",0,"-","0","0","Negative","-8"
"HMR_4643",3,"Present","2","2","High","20"
"HMR_4644",3,"Present","2","2","High","20"
"HMR_4672",NA,"-","-1","-1","-","-2"
"HMR_4676",2,"Present","2","2","High","15"
"HMR_4736",0,"-","0","0","Negative","-8"
"HMR_4819",0,"-","0","0","Negative","-8"
"HMR_5299",2,"Present","2","2","High","15"
"HMR_5352",2,"Present","2","2","High","15"
"HMR_6612",2,"Present","2","2","High","15"
"HMR_6621",1,"Present","1","1","Medium","10"
"HMR_6622",1,"Present","1","1","Medium","10"
"HMR_6623",2,"Present","2","2","High","15"
"HMR_6624",0,"-","0","0","Negative","-8"
"HMR_6627",3,"Present","2","2","High","20"
"HMR_8072",NA,"-","-1","-1","-","-2"
"HMR_8637",NA,"-","-1","-1","-","-2"
"HMR_3965",3,"Present","2","2","High","20"
"HMR_3966",3,"Present","2","2","High","20"
"HMR_3967",3,"Present","2","2","High","20"
"HMR_3968",2,"Present","2","2","High","15"
"HMR_3999",1,"Present","1","1","Medium","10"
"HMR_4024",3,"Present","2","2","High","20"
"HMR_4026",0,"-","0","0","Negative","-8"
"HMR_4054",2,"Present","2","2","High","15"
"HMR_4061",1,"Present","1","1","Medium","10"
"HMR_4083",3,"Present","2","2","High","20"
"HMR_4136",1,"Present","1","1","Medium","10"
"HMR_4180",2,"Present","2","2","High","15"
"HMR_4185",2,"Present","2","2","High","15"
"HMR_4186",2,"Present","2","2","High","15"
"HMR_4342",1,"Present","1","1","Medium","10"
"HMR_4344",NA,"-","-1","-1","-","-2"
"HMR_4483",0,"-","0","0","Negative","-8"
"HMR_4507",2,"Present","2","2","High","15"
"HMR_4516",1,"Present","1","1","Medium","10"
"HMR_4601",2,"Present","2","2","High","15"
"HMR_4633",3,"Present","2","2","High","20"
"HMR_4640",2,"Present","2","2","High","15"
"HMR_4641",2,"Present","2","2","High","15"
"HMR_4680",2,"Present","2","2","High","15"
"HMR_4806",2,"Present","2","2","High","15"
"HMR_5394",NA,"-","-1","-1","-","-2"
"HMR_6625",0,"-","0","0","Negative","-8"
"HMR_6626",0,"-","0","0","Negative","-8"
"HMR_7160",1,"Present","1","1","Medium","10"
"HMR_7161",0,"-","0","0","Negative","-8"
"HMR_7162",0,"-","0","0","Negative","-8"
"HMR_7163",1,"Present","1","1","Medium","10"
"HMR_7164",1,"Present","1","1","Medium","10"
"HMR_7713",2,"Present","2","2","High","15"
"HMR_7716",2,"Present","2","2","High","15"
"HMR_7717",2,"Present","2","2","High","15"
"HMR_7721",2,"Present","2","2","High","15"
"HMR_7725",2,"Present","2","2","High","15"
"HMR_7728",2,"Present","2","2","High","15"
"HMR_7800",0,"-","0","0","Negative","-8"
"HMR_7801",3,"Present","2","2","High","20"
"HMR_7802",0,"-","0","0","Negative","-8"
"HMR_7863",3,"Present","2","2","High","20"
"HMR_7864",3,"Present","2","2","High","20"
"HMR_7865",3,"Present","2","2","High","20"
"HMR_7866",3,"Present","2","2","High","20"
"HMR_7867",3,"Present","2","2","High","20"
"HMR_7868",3,"Present","2","2","High","20"
"HMR_7869",3,"Present","2","2","High","20"
"HMR_7870",3,"Present","2","2","High","20"
"HMR_7871",3,"Present","2","2","High","20"
"HMR_7872",3,"Present","2","2","High","20"
"HMR_7873",3,"Present","2","2","High","20"
"HMR_7874",3,"Present","2","2","High","20"
"HMR_7875",0,"-","0","0","Negative","-8"
"HMR_7876",3,"Present","2","2","High","20"
"HMR_7878",3,"Present","2","2","High","20"
"HMR_7879",3,"Present","2","2","High","20"
"HMR_7880",0,"-","0","0","Negative","-8"
"HMR_7881",3,"Present","2","2","High","20"
"HMR_7882",3,"Present","2","2","High","20"
"HMR_7883",3,"Present","2","2","High","20"
"HMR_7884",3,"Present","2","2","High","20"
"HMR_7885",3,"Present","2","2","High","20"
"HMR_7886",3,"Present","2","2","High","20"
"HMR_7887",3,"Present","2","2","High","20"
"HMR_7888",3,"Present","2","2","High","20"
"HMR_7889",3,"Present","2","2","High","20"
"HMR_7890",3,"Present","2","2","High","20"
"HMR_7891",3,"Present","2","2","High","20"
"HMR_7892",3,"Present","2","2","High","20"
"HMR_7893",3,"Present","2","2","High","20"
"HMR_8083",2,"Present","2","2","High","15"
"HMR_8085",2,"Present","2","2","High","15"
"HMR_8087",2,"Present","2","2","High","15"
"HMR_8443",2,"Present","2","2","High","15"
"HMR_8444",2,"Present","2","2","High","15"
"HMR_8445",2,"Present","2","2","High","15"
"HMR_8446",1,"Present","1","1","Medium","10"
"HMR_8448",3,"Present","2","2","High","20"
"HMR_8449",3,"Present","2","2","High","20"
"HMR_8450",3,"Present","2","2","High","20"
"HMR_8451",3,"Present","2","2","High","20"
"HMR_8452",3,"Present","2","2","High","20"
"HMR_8453",3,"Present","2","2","High","20"
"HMR_8454",3,"Present","2","2","High","20"
"HMR_8455",3,"Present","2","2","High","20"
"HMR_8456",3,"Present","2","2","High","20"
"HMR_8457",3,"Present","2","2","High","20"
"HMR_8458",3,"Present","2","2","High","20"
"HMR_8459",3,"Present","2","2","High","20"
"HMR_8460",3,"Present","2","2","High","20"
"HMR_8461",0,"-","0","0","Negative","-8"
"HMR_8462",3,"Present","2","2","High","20"
"HMR_8463",3,"Present","2","2","High","20"
"HMR_8464",3,"Present","2","2","High","20"
"HMR_8465",3,"Present","2","2","High","20"
"HMR_8466",3,"Present","2","2","High","20"
"HMR_8467",3,"Present","2","2","High","20"
"HMR_8468",3,"Present","2","2","High","20"
"HMR_8469",3,"Present","2","2","High","20"
"HMR_8470",3,"Present","2","2","High","20"
"HMR_8471",3,"Present","2","2","High","20"
"HMR_8472",3,"Present","2","2","High","20"
"HMR_8473",3,"Present","2","2","High","20"
"HMR_8474",1,"Present","1","1","Medium","10"
"HMR_8477",3,"Present","2","2","High","20"
"HMR_8478",3,"Present","2","2","High","20"
"HMR_8479",3,"Present","2","2","High","20"
"HMR_8480",1,"Present","1","1","Medium","10"
"HMR_8481",NA,"-","-1","-1","-","-2"
"HMR_8482",2,"Present","2","2","High","15"
"HMR_8483",3,"Present","2","2","High","20"
"HMR_8485",1,"Present","1","1","Medium","10"
"HMR_8486",3,"Present","2","2","High","20"
"HMR_8487",2,"Present","2","2","High","15"
"HMR_8488",3,"Present","2","2","High","20"
"HMR_8489",3,"Present","2","2","High","20"
"HMR_3802",3,"Present","2","2","High","20"
"HMR_3804",3,"Present","2","2","High","20"
"HMR_3811",2,"Present","2","2","High","15"
"HMR_3813",0,"-","0","0","Negative","-8"
"HMR_3822",0,"-","0","0","Negative","-8"
"HMR_3827",3,"Present","2","2","High","20"
"HMR_3829",2,"Present","2","2","High","15"
"HMR_3831",3,"Present","2","2","High","20"
"HMR_3862",1,"Present","1","1","Medium","10"
"HMR_3865",3,"Present","2","2","High","20"
"HMR_3870",2,"Present","2","2","High","15"
"HMR_3873",0,"-","0","0","Negative","-8"
"HMR_8654",0,"-","0","0","Negative","-8"
"HMR_3890",2,"Present","2","2","High","15"
"HMR_3892",3,"Present","2","2","High","20"
"HMR_9802",0,"-","0","0","Negative","-8"
"HMR_3899",0,"-","0","0","Negative","-8"
"HMR_3903",1,"Present","1","1","Medium","10"
"HMR_4109",0,"-","0","0","Negative","-8"
"HMR_4114",1,"Present","1","1","Medium","10"
"HMR_4115",1,"Present","1","1","Medium","10"
"HMR_4118",2,"Present","2","2","High","15"
"HMR_4172",1,"Present","1","1","Medium","10"
"HMR_4196",0,"-","0","0","Negative","-8"
"HMR_4197",1,"Present","1","1","Medium","10"
"HMR_4287",3,"Present","2","2","High","20"
"HMR_4690",1,"Present","1","1","Medium","10"
"HMR_4693",0,"-","0","0","Negative","-8"
"HMR_6780",3,"Present","2","2","High","20"
"HMR_6969",1,"Present","1","1","Medium","10"
"HMR_6970",0,"-","0","0","Negative","-8"
"HMR_7641",0,"-","0","0","Negative","-8"
"HMR_7642",3,"Present","2","2","High","20"
"HMR_8626",0,"-","0","0","Negative","-8"
"HMR_8628",1,"Present","1","1","Medium","10"
"HMR_3806",0,"-","0","0","Negative","-8"
"HMR_3807",2,"Present","2","2","High","15"
"HMR_3809",0,"-","0","0","Negative","-8"
"HMR_3816",2,"Present","2","2","High","15"
"HMR_3819",0,"-","0","0","Negative","-8"
"HMR_3820",0,"-","0","0","Negative","-8"
"HMR_3832",NA,"-","-1","-1","-","-2"
"HMR_3833",1,"Present","1","1","Medium","10"
"HMR_3835",1,"Present","1","1","Medium","10"
"HMR_3837",1,"Present","1","1","Medium","10"
"HMR_3838",1,"Present","1","1","Medium","10"
"HMR_3895",2,"Present","2","2","High","15"
"HMR_3897",2,"Present","2","2","High","15"
"HMR_3956",2,"Present","2","2","High","15"
"HMR_3993",0,"-","0","0","Negative","-8"
"HMR_4073",3,"Present","2","2","High","20"
"HMR_4075",2,"Present","2","2","High","15"
"HMR_4077",2,"Present","2","2","High","15"
"HMR_4190",0,"-","0","0","Negative","-8"
"HMR_4191",0,"-","0","0","Negative","-8"
"HMR_4212",1,"Present","1","1","Medium","10"
"HMR_4422",1,"Present","1","1","Medium","10"
"HMR_4423",0,"-","0","0","Negative","-8"
"HMR_4424",0,"-","0","0","Negative","-8"
"HMR_4583",0,"-","0","0","Negative","-8"
"HMR_4606",0,"-","0","0","Negative","-8"
"HMR_4607",3,"Present","2","2","High","20"
"HMR_4776",2,"Present","2","2","High","15"
"HMR_4777",2,"Present","2","2","High","15"
"HMR_4778",1,"Present","1","1","Medium","10"
"HMR_4779",1,"Present","1","1","Medium","10"
"HMR_4780",1,"Present","1","1","Medium","10"
"HMR_4781",1,"Present","1","1","Medium","10"
"HMR_4784",0,"-","0","0","Negative","-8"
"HMR_4785",0,"-","0","0","Negative","-8"
"HMR_4786",3,"Present","2","2","High","20"
"HMR_4787",0,"-","0","0","Negative","-8"
"HMR_5384",1,"Present","1","1","Medium","10"
"HMR_6932",0,"-","0","0","Negative","-8"
"HMR_6935",0,"-","0","0","Negative","-8"
"HMR_6938",1,"Present","1","1","Medium","10"
"HMR_6940",NA,"-","-1","-1","-","-2"
"HMR_6942",0,"-","0","0","Negative","-8"
"HMR_6945",0,"-","0","0","Negative","-8"
"HMR_6948",0,"-","0","0","Negative","-8"
"HMR_6951",0,"-","0","0","Negative","-8"
"HMR_6965",1,"Present","1","1","Medium","10"
"HMR_6966",1,"Present","1","1","Medium","10"
"HMR_8096",0,"-","0","0","Negative","-8"
"HMR_8097",0,"-","0","0","Negative","-8"
"HMR_8098",3,"Present","2","2","High","20"
"HMR_8416",0,"-","0","0","Negative","-8"
"HMR_8425",0,"-","0","0","Negative","-8"
"HMR_8426",2,"Present","2","2","High","15"
"HMR_8427",0,"-","0","0","Negative","-8"
"HMR_8431",NA,"-","-1","-1","-","-2"
"HMR_8432",0,"-","0","0","Negative","-8"
"HMR_8603",1,"Present","1","1","Medium","10"
"HMR_8604",0,"-","0","0","Negative","-8"
"HMR_8605",3,"Present","2","2","High","20"
"HMR_8606",0,"-","0","0","Negative","-8"
"HMR_8607",NA,"-","-1","-1","-","-2"
"HMR_8609",1,"Present","1","1","Medium","10"
"HMR_8610",1,"Present","1","1","Medium","10"
